date,open,high,low,close,volume,amount,pctChg
2025-01-02,23.2200,23.7600,22.5400,22.7900,1943400,44863681.0000,-1.851900
2025-01-03,22.9800,23.1800,20.9600,20.9800,2619200,57095745.0000,-7.942100
2025-01-06,20.9900,21.1800,19.8200,20.8700,1730500,35904260.0000,-0.524300
2025-01-07,21.3600,21.8300,20.6200,21.8000,1702486,36376180.0600,4.456200
2025-01-08,22.0900,22.2000,20.9100,22.0500,2303934,49976410.6200,1.146800
2025-01-09,21.8700,22.9300,21.8300,22.6300,3106480,70344323.2000,2.630400
2025-01-10,22.5900,23.3400,22.0000,22.0500,3426100,78110708.8000,-2.563000
2025-01-13,21.5000,22.9200,20.9800,22.8100,3583500,79239181.4000,3.446700
2025-01-14,22.8200,24.5500,22.6200,24.5200,4783660,114210890.6000,7.496700
2025-01-15,24.8000,24.8300,24.0000,24.2600,3294559,80477416.9200,-1.060400
2025-01-16,24.3100,24.5600,23.5200,23.8200,2895040,69613336.4000,-1.813700
2025-01-17,23.8100,24.6600,23.5400,24.0800,3585000,86208856.0000,1.091500
2025-01-20,24.4100,24.6600,23.6700,24.0000,2181280,52326822.8000,-0.332200
2025-01-21,24.1000,24.6600,23.7100,24.5600,3937540,95733848.4000,2.333300
2025-01-22,24.4200,24.9700,24.1000,24.2200,3040200,74362822.0000,-1.384400
2025-01-23,24.4600,25.1800,24.2200,24.2500,3629700,89562781.0000,0.123900
2025-01-24,23.9900,24.7500,23.9800,24.6300,3127100,75982505.0000,1.567000
2025-01-27,24.6300,24.8400,23.4800,23.5500,2697380,64524494.2000,-4.384900
2025-02-05,24.1200,24.5000,23.8000,24.4000,3092180,74904288.0000,3.609300
2025-02-06,24.1600,25.7200,24.1600,25.5900,4288100,108327250.0000,4.877000
2025-02-07,25.5900,25.7800,24.8800,25.3000,5312255,134874884.5800,-1.133300
2025-02-10,25.3000,25.5000,24.7000,25.4800,3679370,92419274.9900,0.711500
2025-02-11,25.3000,25.4300,24.8800,25.1000,2530600,63473298.0000,-1.491400
2025-02-12,25.1700,25.9000,24.8000,25.6100,3924420,99865258.0000,2.031900
2025-02-13,25.6900,25.7800,24.5700,24.5700,3201658,80090909.7100,-4.060900
2025-02-14,24.5500,24.9900,24.0500,24.1700,2962991,72219607.8100,-1.628000
2025-02-17,24.1700,24.9500,24.1500,24.9200,2757880,67941117.2000,3.103000
2025-02-18,24.9600,26.0800,24.8000,25.2000,6373141,162602109.0800,1.123600
2025-02-19,24.7600,26.7800,24.7600,26.5900,10055200,264843606.0000,5.515900
2025-02-20,26.3600,27.4000,26.1800,27.0500,10689193,286519343.1800,1.730000
2025-02-21,26.9200,27.2400,26.6800,26.9900,6715260,180599730.6600,-0.221800
2025-02-24,26.8800,27.6800,26.1000,27.0600,6551594,176643958.4800,0.259400
2025-02-25,26.5000,27.7000,26.4000,27.2600,6280582,170870320.5600,0.739100
2025-02-26,27.2700,28.8800,27.0500,28.1700,11903392,335584016.3800,3.338200
2025-02-27,28.1100,33.2700,27.8900,30.5200,16286939,492239485.4500,8.342200
2025-02-28,29.7200,31.8800,28.9000,30.9500,15187528,461751032.2900,1.408900
2025-03-03,30.1800,33.6000,30.1800,32.5000,16410324,520626710.4200,5.008100
2025-03-04,31.5000,32.6600,29.6000,29.8300,13072876,407903253.0600,-8.215400
2025-03-05,29.8000,35.8000,29.1700,35.2300,21749201,726050029.6900,18.102600
2025-03-06,34.1800,36.5000,33.6000,35.2800,19422422,674837028.5800,0.141900
2025-03-07,34.0800,34.7700,32.5000,33.3100,12227091,412863725.3100,-5.583900
2025-03-10,33.6800,34.2700,32.7000,34.0700,8385391,282596560.9000,2.281600
2025-03-11,33.2000,36.4100,33.0000,36.4100,14033486,494742048.0800,6.868200
2025-03-12,37.3100,37.6900,34.2200,34.5100,11350614,399229921.5200,-5.218300
2025-03-13,34.2200,34.2400,31.0800,32.0200,9120475,293817754.3000,-7.215300
2025-03-14,31.9000,32.6800,31.4200,32.2500,6325434,202723711.2400,0.718300
2025-03-17,32.4900,32.4900,31.2800,31.7600,5297108,168495783.6800,-1.519400
2025-03-18,31.7800,32.1200,31.3000,31.9800,5712664,181560734.5700,0.692700
2025-03-19,31.9200,32.1600,30.5100,30.7200,7670421,239861089.0300,-3.940000
2025-03-20,30.8000,32.3000,30.5700,31.4600,7679955,242015951.0000,2.408900
2025-03-21,31.0400,31.2800,29.4900,29.6300,6601140,197934906.6200,-5.816900
2025-03-24,29.6200,29.8600,27.7000,28.7900,4963060,142201179.0000,-2.835000
2025-03-25,28.7900,29.4800,28.2800,28.5500,3224300,92615452.6000,-0.833600
2025-03-26,28.5500,32.4500,28.2200,30.9800,9475826,290892953.4400,8.511400
2025-03-27,30.7700,30.8900,29.0600,29.1800,6109300,180472790.6000,-5.810200
2025-03-28,29.1600,29.9600,28.6200,28.6900,3345620,97194535.6000,-1.679200
2025-03-31,28.3100,28.4300,27.0200,28.1700,3888640,107339798.2000,-1.812500
2025-04-01,28.6500,28.6500,27.5800,27.7100,2599140,72697052.4000,-1.632900
2025-04-02,27.7200,29.2500,27.6300,28.9900,4304240,123817437.4000,4.619300
2025-04-03,28.5600,29.1900,27.7900,28.1600,3135400,89140410.0000,-2.863100
2025-04-07,25.0100,25.9100,22.5300,22.5300,3866959,91375205.6400,-19.992900
2025-04-08,22.8000,23.7000,21.7600,22.6300,4282700,96840874.0000,0.443900
2025-04-09,22.3000,23.5800,19.8600,23.2600,4441687,97752438.5100,2.783900
2025-04-10,23.8000,24.9900,23.8000,24.1800,4233500,103614606.0000,3.955300
2025-04-11,24.1800,24.9000,23.7600,24.5800,3384200,82912988.2000,1.654300
2025-04-14,25.0000,25.4200,24.7000,24.8200,2735480,68513024.2000,0.976400
2025-04-15,24.8300,25.2900,24.5400,25.0600,2606923,64980732.5000,0.967000
2025-04-16,24.8700,25.0300,23.6200,24.1600,2643232,64198828.1200,-3.591400
2025-04-17,24.0000,24.6400,24.0000,24.0200,1852041,45099793.4100,-0.579500
2025-04-18,24.3900,24.6000,23.8300,24.3500,2436032,59211302.5600,1.373900
2025-04-21,24.3500,24.9500,24.0500,24.9100,2114380,52091360.2000,2.299800
2025-04-22,24.8100,24.9800,24.4500,24.6100,1867200,46112608.0000,-1.204300
2025-04-23,24.8600,26.4900,24.8000,26.0000,4614300,118449475.0000,5.648100
2025-04-24,26.0500,26.7600,25.2700,25.7300,4808100,125127199.0000,-1.038500
2025-04-25,25.7400,27.2900,25.2800,26.7300,6310960,166783549.6000,3.886500
2025-04-28,26.6500,27.2800,26.0000,26.3700,4609500,122353215.0000,-1.346800
2025-04-29,26.1000,26.9300,25.8000,26.3200,4024880,106716980.8000,-0.189600
2025-04-30,26.3200,27.3600,26.3100,27.1000,4468100,120371134.0000,2.963500
2025-05-06,27.3100,28.5200,26.9500,28.4000,6074500,169534197.0000,4.797000
2025-05-07,28.5200,28.7200,27.5000,27.9800,4792820,134663112.2000,-1.478900
2025-05-08,27.7000,28.8300,27.7000,28.5800,4739500,134780682.8000,2.144400
2025-05-09,28.5200,28.5200,27.4800,27.7600,3105400,86547770.0000,-2.869100
2025-05-12,28.1000,28.8900,28.1000,28.7100,4086400,116565923.0000,3.422200
2025-05-13,29.0000,29.2000,28.1800,28.3000,3727700,106324462.6000,-1.428100
2025-05-14,28.2000,28.4100,27.8000,27.9400,2633680,73721214.8000,-1.272100
2025-05-15,28.0200,28.2100,27.4000,27.5700,2234020,61718958.2000,-1.324300
2025-05-16,27.8000,28.4800,27.4600,27.8800,2649780,74449953.6000,1.124400
2025-05-19,27.7600,27.9600,27.0800,27.7300,2450080,67333549.4000,-0.538000
2025-05-20,28.0000,28.0000,27.3700,27.6800,1948700,53830863.0000,-0.180300
2025-05-21,27.7200,27.7200,26.7900,26.9100,2628207,71032982.3500,-2.781800
2025-05-22,27.0700,27.6600,26.4400,26.5100,2467100,66406054.0000,-1.486400
2025-05-23,26.3100,26.8000,25.9800,26.0400,2171420,57279231.0000,-1.772900
2025-05-26,26.0400,26.2700,25.7700,26.2300,1709200,44561995.0000,0.729600
2025-05-27,26.3800,26.3800,25.6000,25.9800,1524900,39500522.0000,-0.953100
2025-05-28,26.2000,26.3400,25.4000,25.6000,1548820,39955213.8000,-1.462700
