date,open,high,low,close,volume,amount,pctChg
2025-01-02,42.3600,42.5800,40.5500,41.2800,7553400,314053201.4000,-2.870600
2025-01-03,41.7300,41.8500,39.4500,39.5100,7468400,301534987.0000,-4.287800
2025-01-06,39.3200,40.2500,38.7000,39.3900,6421674,253044223.9000,-0.303700
2025-01-07,39.6000,40.0800,39.1600,40.0500,5926192,235302733.6400,1.675600
2025-01-08,39.6900,40.8000,38.7200,40.4000,7405900,295486229.0000,0.873900
2025-01-09,40.1100,40.8600,40.0200,40.1800,5467000,221303303.0000,-0.544600
2025-01-10,40.0400,41.0500,39.0300,39.0800,7283400,292584946.0000,-2.737700
2025-01-13,38.6200,40.2000,37.8100,39.6200,6876664,268432276.2000,1.381800
2025-01-14,40.1300,41.7300,39.7500,41.7200,9676140,396028767.4000,5.300400
2025-01-15,41.7000,42.0300,40.8600,41.0400,6483840,267737532.9600,-1.629900
2025-01-16,41.2900,41.9600,40.5200,41.1100,6380200,262874763.0000,0.170600
2025-01-17,41.7000,42.8000,40.7000,41.8000,12143610,507889320.9000,1.678400
2025-01-20,42.3400,42.4500,41.5100,41.6700,7872820,329722453.4400,-0.311000
2025-01-21,41.8000,41.9500,41.1100,41.7300,5313333,220663876.8300,0.144000
2025-01-22,41.5000,41.9500,40.9500,41.1900,4597863,190190151.9800,-1.294000
2025-01-23,41.6100,42.4000,40.6700,40.6900,6613076,274680151.7600,-1.213900
2025-01-24,40.6600,41.1100,40.3400,41.0100,5520177,226111810.6700,0.786400
2025-01-27,42.6000,42.6000,40.3400,40.3400,7017538,288969652.8400,-1.633700
2025-02-05,40.7000,41.5000,40.7000,41.1300,6715838,276266087.7600,1.958400
2025-02-06,41.0000,42.5000,40.7300,42.3100,7838552,328857436.3500,2.869000
2025-02-07,42.3200,43.7500,42.0700,43.0000,10438512,448340334.5500,1.630800
2025-02-10,42.9600,44.2800,42.6600,44.1000,9496099,412939000.8200,2.558100
2025-02-11,43.8100,43.9500,42.8900,43.2000,8083298,349754356.0500,-2.040800
2025-02-12,43.0100,44.1600,42.8200,43.9800,10013953,436166264.8500,1.805600
2025-02-13,43.8000,43.8800,42.4300,42.6400,9604514,412486282.8600,-3.046800
2025-02-14,42.5200,42.8600,41.8100,42.0800,5795092,244335134.4400,-1.313300
2025-02-17,41.8600,42.7000,41.8600,42.3800,5617454,237682575.5800,0.712900
2025-02-18,42.3200,43.5000,41.1400,41.4700,8621444,365112458.8600,-2.147200
2025-02-19,41.5300,42.9500,41.2900,42.6800,7418629,314459084.1300,2.917800
2025-02-20,42.4600,42.6700,42.0500,42.1900,5353400,226249397.0000,-1.148100
2025-02-21,42.1600,43.3800,41.8100,42.9900,10078035,430544728.3700,1.896200
2025-02-24,43.1900,43.4400,42.4300,42.8700,7959102,340502114.0800,-0.279100
2025-02-25,42.4000,44.2400,42.0100,43.2500,13479833,584215831.9500,0.886400
2025-02-26,43.1100,43.5500,42.6800,43.2400,9718250,417601380.3000,-0.023100
2025-02-27,43.2900,43.5600,41.5100,42.3100,9671090,410600380.3200,-2.150800
2025-02-28,41.9900,42.5000,40.0300,40.4500,7897138,326206906.9400,-4.396100
2025-03-03,41.2500,42.8600,40.3500,41.7300,11167105,466442692.9800,3.164400
2025-03-04,41.0500,42.7500,40.9100,42.5800,9239839,389823246.8000,2.036900
2025-03-05,42.2800,42.7100,41.0800,41.6800,7278834,303990917.2300,-2.113700
2025-03-06,41.8200,43.5700,41.8200,42.9800,11843107,508579551.2300,3.119000
2025-03-07,42.5200,42.8300,41.4000,41.7500,8672131,364347217.9200,-2.861800
2025-03-10,41.5900,42.7500,41.4000,42.0000,6391252,268802694.0400,0.598800
2025-03-11,41.3000,41.7400,40.9500,41.5300,6738640,277915569.5600,-1.119000
2025-03-12,41.5300,41.7800,40.8100,40.8100,6691439,275697924.1300,-1.733700
2025-03-13,41.6000,41.8000,39.7700,39.9300,7207800,292026850.0000,-2.156300
2025-03-14,39.9500,40.6000,39.5000,40.5600,5107964,205397243.5600,1.577800
2025-03-17,40.5500,41.0300,40.3600,40.6800,4259108,173722844.5600,0.295900
2025-03-18,40.7800,41.3900,40.5700,40.7600,3897439,159392817.8600,0.196700
2025-03-19,40.8000,40.8000,39.9800,40.0400,3792502,152742682.4600,-1.766400
2025-03-20,40.2700,40.2700,39.6800,39.7000,3320400,132741456.0000,-0.849200
2025-03-21,39.7200,39.8900,39.1100,39.5400,4118842,162378844.9000,-0.403000
2025-03-24,39.6500,39.6500,37.6000,38.4500,5097300,196417529.0000,-2.756700
2025-03-25,38.4600,38.5900,37.8800,37.9900,2663927,101510085.8100,-1.196400
2025-03-26,37.8600,38.5700,37.8600,38.4700,2877200,110031657.0000,1.263500
2025-03-27,38.3100,39.8900,37.8600,39.3700,6010139,235054372.9400,2.339500
2025-03-28,39.7900,41.8800,39.5800,39.7900,10425305,421976017.3600,1.066800
2025-03-31,38.9700,39.9800,38.3100,39.0000,6577348,256860879.6600,-1.985400
2025-04-01,39.2600,44.8500,38.6200,42.8000,20442185,853120515.8300,9.743600
2025-04-02,42.1300,42.7400,40.7000,41.3500,14936976,619420347.4200,-3.387900
2025-04-03,40.6000,42.3100,40.5500,41.2100,9919177,411484715.7000,-0.338600
2025-04-07,37.3000,39.3900,32.9700,33.3600,13028977,467111304.8000,-19.048800
2025-04-08,34.0100,36.3300,34.0000,35.5200,11757238,414705901.9400,6.474800
2025-04-09,34.8500,37.3000,33.0300,36.9000,11187000,400561404.3700,3.885100
2025-04-10,37.9500,38.7000,37.1700,37.1700,8099654,306934655.0100,0.731700
2025-04-11,37.0000,39.4500,36.8300,38.3500,11343579,436259752.2600,3.174600
2025-04-14,39.0400,39.2600,38.2100,38.4500,7489995,289322668.1600,0.260800
2025-04-15,38.3800,38.5500,37.6300,37.8600,4169200,158202976.0000,-1.534500
2025-04-16,37.6500,38.2000,36.7000,37.4100,4292697,160497731.8200,-1.188600
2025-04-17,37.0400,38.1900,36.8300,37.2400,4427518,166839094.5800,-0.454400
2025-04-18,37.2400,37.2400,36.3900,36.7300,3405418,125124132.5800,-1.369500
2025-04-21,36.8000,37.3500,36.6000,37.3000,2713351,100665125.7900,1.551900
2025-04-22,37.2800,37.5100,36.6600,37.0000,3675316,136236905.2100,-0.804300
2025-04-23,37.0900,37.5000,36.7300,37.0400,3384400,125364458.8800,0.108100
2025-04-24,37.0400,37.5000,36.4700,36.5000,4602639,169896162.9600,-1.457900
2025-04-25,36.6300,37.2500,36.1900,36.9100,4162805,153187527.3300,1.123300
2025-04-28,36.8200,36.9500,36.3900,36.4300,2897496,106030113.9400,-1.300500
2025-04-29,36.2400,36.6800,36.0700,36.3200,2462887,89623899.6200,-0.301900
2025-04-30,37.2000,38.5500,37.0000,38.2200,7571600,286900099.0000,5.231300
2025-05-06,38.3300,39.7400,38.3300,39.5700,7011439,274077390.8900,3.532200
2025-05-07,39.9000,40.3600,39.1200,39.5600,5666267,224570798.5200,-0.025300
2025-05-08,39.2000,39.6600,39.0900,39.4000,3103160,122349608.4000,-0.404400
2025-05-09,39.4200,39.4400,38.5400,38.8300,3024239,117523483.6600,-1.446700
2025-05-12,39.0000,39.4200,38.9100,39.0900,2858600,111769855.0000,0.669600
2025-05-13,39.4800,39.5500,38.6600,38.7000,2841900,110713331.8500,-0.997700
2025-05-14,38.7700,39.1500,38.3500,38.9600,3048900,118174217.0000,0.671800
2025-05-15,38.9000,39.0700,38.1100,38.2500,2304100,88313193.0000,-1.822400
2025-05-16,38.0300,38.4600,37.8800,38.0300,1993209,76188424.9700,-0.575200
2025-05-19,41.2000,41.9900,39.4000,39.9900,15882175,643743761.1500,5.153800
2025-05-20,41.4100,42.5000,40.0000,41.9000,17908641,740781841.1100,4.776200
2025-05-21,41.1100,41.8900,40.1000,40.8000,12635447,516171908.3400,-2.625300
2025-05-22,42.0000,44.7700,41.7100,43.1000,22742747,987544778.4000,5.637300
2025-05-23,42.3300,51.4000,42.3300,47.7000,33779257,1548575462.1400,10.672900
2025-05-26,47.9900,49.1500,46.8900,47.4600,21986558,1053184805.0200,-0.503100
2025-05-27,47.8800,47.9400,45.5400,45.6700,16314805,753877015.5700,-3.771600
2025-05-28,45.7200,47.2800,44.3000,46.3700,17394113,797247104.3200,1.532700
2025-05-29,45.7700,47.4600,44.6900,46.5500,15218041,698106881.2100,0.388200
2025-05-30,46.0900,46.0900,42.4200,42.8800,15163774,671690695.6200,-7.884000
2025-06-03,41.7300,43.8500,41.6100,43.1400,8188340,351698668.4000,0.606300
2025-06-04,43.1400,43.4100,42.3300,42.8400,7653252,327128708.9000,-0.695400
2025-06-05,42.9800,43.1000,42.0700,42.7700,6653450,282782104.1900,-0.163400
2025-06-06,42.5000,42.7700,41.9000,42.3900,5899546,249693455.5900,-0.888500
