date,open,high,low,close,volume,amount,pctChg
2025-01-02,25.5000,26.5700,25.0200,25.4200,2484786,63809940.7900,-0.703100
2025-01-03,25.5000,25.5500,23.9500,23.9800,2477571,60835678.3600,-5.664800
2025-01-06,23.8800,24.3900,23.3000,23.8500,1219200,29137626.7100,-0.542100
2025-01-07,24.1500,24.8600,23.9000,24.8600,1702800,41656284.0000,4.234800
2025-01-08,24.5100,24.9600,23.7100,24.6800,1822898,44567628.4300,-0.724100
2025-01-09,24.5100,25.4700,24.5100,25.2900,2210120,55545704.2000,2.471600
2025-01-10,25.2400,26.1200,24.8800,24.8800,2815193,72026422.9800,-1.621200
2025-01-13,24.6000,25.6800,24.5100,25.2600,2062611,51933246.9600,1.527300
2025-01-14,25.2000,26.6800,25.1200,26.6800,3234725,84311871.6100,5.621500
2025-01-15,26.4000,26.7600,26.2100,26.4300,2034383,53826725.3300,-0.937000
2025-01-16,26.6200,27.1500,26.2700,27.0200,3267011,87566019.0200,2.232300
2025-01-17,26.8000,27.1600,26.4800,26.6600,2268252,60713927.8000,-1.332300
2025-01-20,26.8000,26.9700,26.3500,26.7600,2034040,54236603.2000,0.375100
2025-01-21,26.8200,27.2000,26.4500,27.1500,2617455,70355989.1500,1.457400
2025-01-22,27.1000,27.4700,26.7000,27.2000,2831235,76678453.1100,0.184200
2025-01-23,27.2100,32.6400,27.0000,29.6200,15730613,481753770.9400,8.897100
2025-01-24,28.8000,30.2800,28.7000,29.6000,12250507,358498423.2900,-0.067500
2025-01-27,29.7100,30.2800,28.3400,28.4100,6352111,184068470.9400,-4.020300
2025-02-05,28.8400,29.4700,28.3600,28.9500,5406529,156340689.8700,1.900700
2025-02-06,28.7800,32.2900,28.7200,32.0600,10863840,330287136.7500,10.742700
2025-02-07,31.1200,32.8800,31.0400,32.0900,10334365,330342271.3300,0.093600
2025-02-10,31.7900,31.9900,31.0000,31.3600,5656930,176958154.2000,-2.274900
2025-02-11,31.3700,31.7900,31.0600,31.5500,5751561,181196032.0100,0.605900
2025-02-12,31.5200,31.7500,30.7100,31.6100,4233780,133089825.0000,0.190200
2025-02-13,31.4000,31.5200,30.2300,30.3900,5762200,177038152.0400,-3.859500
2025-02-14,30.0500,30.4900,29.4400,29.5500,4652433,138877026.8000,-2.764100
