date,open,high,low,close,volume,amount,pctChg
2025-01-02,48.5000,48.8400,45.5800,46.3800,2204652,103898544.9000,-4.567900
2025-01-03,46.9000,48.7900,44.2500,44.6100,2445200,113348241.0000,-3.816300
2025-01-06,44.1800,44.8000,42.0300,43.2000,1907170,82741065.2900,-3.160700
2025-01-07,43.0100,44.1100,42.3100,44.0100,1576604,68356806.0000,1.875000
2025-01-08,43.8000,43.8000,41.3200,43.0600,1805290,77285140.8000,-2.158600
2025-01-09,42.9800,44.8000,42.5000,43.4200,1524650,66544039.6000,0.836000
2025-01-10,43.1000,44.1600,41.3400,41.3400,1518730,65110140.2000,-4.790400
2025-01-13,40.7400,41.7600,39.6000,41.3900,1248460,50914548.1000,0.120900
2025-01-14,41.9700,43.8600,41.2000,43.8300,1714280,73685596.6000,5.895100
2025-01-15,43.8300,44.3000,42.9300,43.1100,1156040,50155176.4000,-1.642700
2025-01-16,43.3100,44.0800,42.5800,43.1600,1345200,58314369.0000,0.116000
2025-01-17,42.9300,43.4800,42.5500,42.8200,1027750,44223447.2000,-0.787800
2025-01-20,43.3300,43.6900,42.8200,43.5800,1348638,58509978.7400,1.774900
2025-01-21,43.7900,47.2200,42.9100,45.1900,3041981,136395907.3100,3.694400
2025-01-22,44.9200,45.0800,43.9300,44.2800,1892580,84220775.4000,-2.013700
2025-01-23,44.6200,45.3300,43.9200,43.9900,1804340,80705573.2000,-0.654900
2025-01-24,43.7100,45.3600,43.5600,45.2600,1832438,81774399.8400,2.887000
2025-01-27,45.4000,45.8800,43.4900,43.7300,1683920,74588817.4000,-3.380500
2025-02-05,44.4700,45.3700,43.8200,45.2200,1606100,72073401.2400,3.407300
2025-02-06,45.0900,46.7300,44.9200,46.4100,2456864,113629623.3200,2.631600
2025-02-07,46.5000,47.4000,46.0000,46.6600,3163724,148168392.8300,0.538700
2025-02-10,46.7800,48.5600,46.4100,47.9800,3098321,147949018.1600,2.829000
2025-02-11,47.9800,48.4800,47.4100,47.7700,2539680,121843288.7000,-0.437700
2025-02-12,47.5800,49.5400,47.3600,48.4600,2993261,145704969.5200,1.444400
2025-02-13,48.2900,48.3000,46.4100,46.4100,2735360,128813063.9000,-4.230300
2025-02-14,46.3800,46.9400,45.8000,46.1300,1595070,73788285.2900,-0.603300
2025-02-17,46.2700,47.2300,46.0000,46.8800,1918960,89666908.0000,1.625800
2025-02-18,46.9000,47.4800,45.1800,45.3800,1735740,80208724.6000,-3.199700
2025-02-19,45.3000,46.9400,45.3000,46.8300,1884420,87702824.2000,3.195200
2025-02-20,48.3300,48.9900,47.4000,48.8000,4638530,224549381.7000,4.206700
2025-02-21,48.4300,49.7200,48.1100,48.9900,4347010,212930416.7000,0.389300
2025-02-24,49.0000,49.0000,47.7300,48.5100,2657290,128314241.5000,-0.979800
2025-02-25,48.7000,50.3500,48.0600,49.6100,4161386,205507507.3200,2.267600
2025-02-26,49.4100,49.6900,48.7800,49.4800,2887920,142288122.0000,-0.262000
2025-02-27,49.5000,49.8000,47.5000,48.9300,2585666,125707299.5400,-1.111600
2025-02-28,48.5000,48.7400,45.3100,45.4600,2586270,120726915.6000,-7.091800
2025-03-03,45.4800,46.5000,44.6100,44.9500,1789060,81605213.4000,-1.121900
2025-03-04,44.9500,46.2500,44.6000,46.1200,1510400,69243361.4000,2.602900
2025-03-05,45.9500,46.7600,45.5700,46.5400,1362880,62931712.2000,0.910700
2025-03-06,46.6200,48.3000,46.6100,47.9100,2311390,110259426.9000,2.943700
2025-03-07,47.6200,48.3300,47.0500,47.5400,1630630,77931867.9000,-0.772300
2025-03-10,47.6900,47.8600,46.9600,47.4300,1406310,66550747.5000,-0.231400
2025-03-11,46.5200,47.1800,46.1500,47.0800,1429020,66776134.6000,-0.737900
2025-03-12,47.5000,48.1300,47.0100,47.6300,1586490,75584245.6000,1.168200
2025-03-13,47.6300,47.8000,45.6000,46.2200,1595343,74109422.6500,-2.960300
2025-03-14,46.2100,46.6500,45.2000,46.5700,1497360,68969976.9000,0.757200
2025-03-17,46.6200,54.0000,46.2500,51.4600,9060640,458862747.8900,10.500300
2025-03-18,51.4400,52.9000,51.0500,51.6600,7441441,384907569.5500,0.388700
2025-03-19,51.6500,51.9800,50.3400,50.8400,4124731,210059976.9600,-1.587300
2025-03-20,51.0500,51.3500,50.3100,50.3500,2991426,151853964.3400,-0.963800
2025-03-21,50.0100,50.3300,48.4600,48.6000,2670800,131320945.4000,-3.475700
2025-03-24,48.5200,48.7000,44.3500,45.4300,3668580,169428280.6000,-6.522600
2025-03-25,45.4800,47.3000,44.6000,44.9500,2468790,112490912.5000,-1.056600
2025-03-26,44.9600,45.8500,44.5200,45.2500,1759810,79890494.7000,0.667400
2025-03-27,45.2500,45.5700,43.8300,45.0500,1819840,81570195.0000,-0.442000
2025-03-28,45.0000,46.0000,44.3200,44.4600,1769100,79474541.3000,-1.309700
2025-03-31,44.2600,44.2600,42.5200,43.7900,1771800,76712254.0000,-1.507000
2025-04-01,43.7700,44.4500,43.4200,43.5700,1687973,74100850.2500,-0.502400
2025-04-02,43.5000,44.1500,43.4000,43.5000,1199460,52445056.4000,-0.160700
2025-04-03,42.7200,43.4700,41.8600,42.3000,1617381,68973628.3100,-2.758600
2025-04-07,37.7900,38.5400,33.8400,33.8400,2884380,102368203.5000,-20.000000
2025-04-08,34.4700,35.5800,33.7000,34.4400,2437840,84166056.7000,1.773000
2025-04-09,33.8800,35.8800,31.0000,35.4500,2909730,98809301.0000,2.932600
2025-04-10,37.0400,38.1500,36.8000,37.3700,3054720,114716488.2000,5.416100
2025-04-11,36.7100,38.4500,36.7100,37.8000,2535160,95965138.1000,1.150700
2025-04-14,39.6800,40.0000,38.7400,38.8600,2061400,80876132.0000,2.804200
2025-04-15,38.8400,39.2000,38.4800,39.0000,1387920,53876647.8000,0.360300
2025-04-16,38.9600,38.9600,37.4200,38.0600,1121960,42845246.4000,-2.410300
2025-04-17,37.7000,38.7600,37.6800,38.0600,1238780,47586185.6000,0.000000
2025-04-18,38.0800,38.5600,37.6200,38.3000,949070,36170992.7000,0.630600
2025-04-21,40.2900,41.1500,39.5200,40.7000,3486530,140912329.0100,6.266300
2025-04-22,41.0500,41.7800,40.5600,40.8800,2862159,117833201.1700,0.442300
2025-04-23,41.5100,42.2500,41.4400,41.8800,2468490,103344717.7000,2.446200
2025-04-24,41.5900,41.8700,40.4300,40.7300,1908780,78463236.8000,-2.745900
2025-04-25,40.7200,41.5600,40.7200,41.3000,1128313,46603445.6900,1.399500
2025-04-28,41.2600,41.7800,40.7600,41.2500,1073191,44456223.4900,-0.121100
2025-04-29,41.0500,42.1300,40.9100,41.7600,1035900,43243035.0000,1.236400
2025-04-30,41.7600,42.8600,41.7600,42.7400,1242160,52686543.6000,2.346700
2025-05-06,43.0200,44.9000,43.0000,44.9000,1855335,81618667.1500,5.053800
2025-05-07,45.0000,45.5000,44.3300,45.0700,2198423,98722324.7700,0.378600
2025-05-08,44.8000,45.7500,44.6900,45.5100,1703510,77365750.3000,0.976300
2025-05-09,45.5000,45.5200,44.6800,45.1200,1288700,58073503.0000,-0.857000
2025-05-12,45.7500,46.0000,45.2500,45.7600,1360257,62059857.9600,1.418400
2025-05-13,46.9800,47.2000,45.5500,45.6700,1693260,77966928.9000,-0.196700
2025-05-14,45.6000,45.9900,45.0500,45.3000,1601533,72675420.1100,-0.810200
2025-05-15,45.1600,45.3800,44.4500,44.8100,1087930,48762897.3000,-1.081700
2025-05-16,45.1800,45.9500,44.6000,45.3700,1506880,68381651.4000,1.249700
2025-05-19,45.0000,45.3000,44.5400,45.1300,969900,43594231.5000,-0.529000
