date,open,high,low,close,volume,amount,pctChg
2025-01-02,40.1000,40.7400,38.9300,39.2100,732250,29154108.7000,-1.753900
2025-01-03,39.4000,39.7800,38.3400,38.4000,883500,34638327.6000,-2.065800
2025-01-06,38.6000,39.6900,37.9300,38.8800,579227,22462548.7500,1.250000
2025-01-07,38.6400,39.4000,38.2600,39.4000,793286,30712120.2600,1.337400
2025-01-08,39.1600,39.5700,38.1800,38.9800,582400,22713191.0000,-1.066000
2025-01-09,38.6300,39.3600,38.2500,38.7700,432605,16835011.1900,-0.538700
2025-01-10,38.7800,39.2500,38.0400,38.0400,515997,19988234.0800,-1.882900
2025-01-13,37.7000,38.5400,37.1000,37.8800,513700,19474691.0000,-0.420600
2025-01-14,38.2000,39.3400,37.7600,39.3400,893697,34642637.5800,3.854300
2025-01-15,39.3300,39.5500,38.8400,39.0900,597697,23419121.9800,-0.635500
2025-01-16,39.5100,39.7000,38.7500,39.1600,547347,21474753.9300,0.179100
2025-01-17,38.8100,39.6500,38.8100,39.4700,573194,22563544.0600,0.791600
2025-01-20,39.5500,40.2800,39.5500,40.1200,657500,26302370.0000,1.646800
2025-01-21,40.1800,40.3800,39.5400,39.9700,488400,19500669.0000,-0.373900
2025-01-22,39.9000,39.9100,39.2800,39.4800,396841,15676833.1200,-1.225900
2025-01-23,39.8900,40.1800,39.4000,39.4000,512728,20445587.7200,-0.202600
2025-01-24,39.2500,39.7600,39.0000,39.5300,487024,19204527.2400,0.329900
2025-01-27,39.8000,40.1700,39.5000,39.5100,505214,20122563.0200,-0.050600
2025-02-05,39.9100,40.1300,39.6700,40.1300,467894,18691494.0000,1.569200
2025-02-06,40.0000,40.9600,39.7900,40.9500,651804,26390593.4000,2.043400
2025-02-07,41.0000,42.3700,40.8700,41.6200,1062981,44289872.7000,1.636100
2025-02-10,41.5100,42.4900,41.5000,42.4900,1042856,44041310.2900,2.090300
2025-02-11,42.2400,42.5100,41.6300,41.8000,724779,30384505.3200,-1.623900
2025-02-12,41.7900,42.0200,41.4500,41.8000,575179,23985014.9500,0.000000
2025-02-13,41.6400,41.7300,41.0400,41.0400,697194,28830137.0300,-1.818200
2025-02-14,41.0100,42.2400,40.9000,41.6900,912800,38129409.0000,1.583800
2025-02-17,41.9000,42.3900,41.3500,41.7400,853200,35767087.0000,0.119900
