date,open,high,low,close,volume,amount,pctChg
2025-01-02,29.8700,30.7900,28.7700,29.1000,1992400,59085632.0000,-3.610500
2025-01-03,29.1000,29.4500,26.8800,26.9600,1847100,51663125.0000,-7.354000
2025-01-06,27.2000,27.3900,25.8100,26.9900,1176020,31556953.4000,0.111300
2025-01-07,26.8200,28.0500,26.8200,28.0400,1379837,37995149.1100,3.890300
2025-01-08,28.0000,29.3600,27.5000,28.9500,2596987,73999043.4000,3.245400
2025-01-09,28.9500,31.8000,28.6500,31.0900,4771100,145845165.0000,7.392100
2025-01-10,31.5400,31.9500,30.1800,30.1800,3579130,111624767.8000,-2.927000
2025-01-13,29.5500,31.6700,29.1100,31.0000,3284200,100553559.0000,2.717000
2025-01-14,31.3600,32.4900,30.5000,32.4100,4102000,130249649.3000,4.548400
2025-01-15,32.2200,32.6000,31.2500,31.3700,2806330,89204017.7000,-3.208900
2025-01-16,31.6300,31.8400,30.3700,30.6900,2490000,77087997.0000,-2.167700
2025-01-17,30.4600,31.3000,30.3000,30.4100,2322200,71369625.0000,-0.912300
2025-01-20,30.6000,31.0300,30.2000,30.7200,1561800,47805028.0000,1.019400
2025-01-21,30.7200,31.3700,30.5300,31.0700,1795700,55553815.0000,1.139300
2025-01-22,30.9000,32.8800,30.8100,31.4400,3850800,122984157.2500,1.190900
2025-01-23,31.6900,32.3600,31.0000,31.0600,3202600,101512967.0000,-1.208700
2025-01-24,31.2800,31.4800,30.7200,31.3800,2529400,78738137.0000,1.030300
2025-01-27,31.5300,31.6300,29.9200,30.0000,1960800,59659708.0000,-4.397700
2025-02-05,30.4200,31.3400,30.0300,30.9400,2032400,62590413.0000,3.133300
2025-02-06,30.7800,32.3000,30.7000,32.2400,3030400,96725756.0000,4.201700
2025-02-07,32.1700,33.8800,31.9200,32.7000,5926000,195728130.0000,1.426800
2025-02-10,32.7000,33.2000,32.2900,33.2000,3471100,113649904.0000,1.529100
2025-02-11,33.3000,33.4500,32.6200,32.8600,2220278,72882734.6000,-1.024100
2025-02-12,32.4700,33.4700,32.3400,33.0400,2793478,92374554.8600,0.547800
2025-02-13,32.9800,33.1400,32.3900,32.5000,1857300,60671186.0000,-1.634400
2025-02-14,32.3600,32.8000,31.8300,32.0700,1830300,58948114.2000,-1.323100
2025-02-17,32.0400,32.6000,31.8700,32.4500,1666500,53820849.0000,1.184900
2025-02-18,32.4300,32.9800,31.2200,31.6200,2200100,71146905.0000,-2.557800
2025-02-19,31.6400,33.5900,31.3400,33.5700,6178997,205536774.3500,6.167000
2025-02-20,33.5100,33.9800,32.9700,33.6900,4830840,161636387.6000,0.357500
2025-02-21,33.4500,34.9000,33.1500,34.1500,6326200,215697868.0000,1.365400
2025-02-24,33.8800,35.0900,33.3400,34.5100,5494200,188267560.0000,1.054200
2025-02-25,33.7900,36.0600,33.5600,35.9700,8135894,285549970.8000,4.230700
2025-02-26,35.3700,37.8000,35.0000,37.7000,10283393,375161500.0000,4.809600
2025-02-27,37.0000,38.7100,35.8400,36.6100,7773765,287890274.4600,-2.891200
2025-02-28,35.9900,36.3600,32.7100,33.0000,6273918,214030108.9600,-9.860700
2025-03-03,33.0100,33.5500,32.0200,32.4800,3522200,115045846.0000,-1.575800
2025-03-04,32.2500,34.4400,32.0000,33.7000,3106119,103989677.0600,3.756200
