date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.5100,13.6600,12.9000,13.2000,4164422,55431856.1700,-2.294600
2025-01-03,13.1600,13.4300,12.3000,12.3000,3375900,43197298.7900,-6.818200
2025-01-06,12.3000,12.7500,11.8800,12.5000,2378623,29324401.4200,1.626000
2025-01-07,12.5000,13.1400,12.4900,13.1000,2479423,31861604.4000,4.800000
2025-01-08,13.0900,13.7000,12.8900,13.4700,3853600,51259571.9100,2.824400
2025-01-09,13.4100,13.5700,13.2400,13.3700,2116300,28379395.8600,-0.742400
2025-01-10,13.4200,13.4200,12.8500,12.8500,1646400,21523301.0000,-3.889300
2025-01-13,12.8000,12.8500,12.4900,12.7200,999400,12692768.0000,-1.011700
2025-01-14,12.9000,13.3100,12.8000,13.3000,1591895,20838590.2500,4.559700
2025-01-15,13.2600,13.3900,13.0900,13.1800,1113000,14693501.0000,-0.902300
2025-01-16,13.4300,13.4800,13.0000,13.1500,1617700,21321977.0000,-0.227600
2025-01-17,13.0100,13.1000,12.8600,13.0300,1280500,16638925.0000,-0.912500
2025-01-20,13.0900,13.3200,12.8800,13.3000,1844118,24282160.0400,2.072100
2025-01-21,13.3000,13.3500,13.0300,13.1200,1228800,16123348.0000,-1.353400
2025-01-22,13.1300,13.1300,12.8800,12.9700,1008918,13105365.0000,-1.143300
2025-01-23,13.0000,13.1800,12.8000,12.8100,1670600,21818630.0000,-1.233600
2025-01-24,12.8200,13.0600,12.6900,12.9300,1500600,19340047.0000,0.936800
2025-01-27,12.9400,13.1200,12.8300,12.8800,1205900,15682655.0000,-0.386700
2025-02-05,12.9200,13.1600,12.9200,13.0500,1410484,18406205.2000,1.319900
2025-02-06,13.0500,13.2400,12.9300,13.2100,2257153,29564457.8000,1.226100
2025-02-07,13.2300,13.3700,13.1500,13.2500,2483384,32950401.1600,0.302800
2025-02-10,13.2900,13.3900,13.1900,13.3900,1762718,23449006.5000,1.056600
2025-02-11,13.4300,13.4300,13.2200,13.2900,1547500,20547101.0000,-0.746800
