date,open,high,low,close,volume,amount,pctChg
2025-01-02,29.5000,30.8500,29.0100,29.2400,1507200,44923217.3700,-0.881400
2025-01-03,29.4700,29.7400,28.2000,28.4500,1658056,47559270.8800,-2.701800
2025-01-06,28.3000,30.0000,27.2800,29.7000,1982925,57175760.2500,4.393700
2025-01-07,29.6800,31.9300,29.2900,31.5500,3650268,113009655.8500,6.229000
2025-01-08,31.4700,32.1400,30.2600,30.8000,3064775,95308755.2000,-2.377200
2025-01-09,30.7600,31.1700,29.9100,30.0300,1865000,56852583.0000,-2.500000
2025-01-10,29.8300,30.3100,28.0400,28.1700,1783143,51740472.6100,-6.193800
2025-01-13,27.9500,28.6200,27.4100,28.1200,1222500,34252767.0000,-0.177500
2025-01-14,28.2000,32.0100,28.1200,31.8100,4495575,135657679.7500,13.122300
2025-01-15,31.7400,32.0100,31.1100,32.0000,2484656,78514291.1300,0.597300
2025-01-16,32.3200,33.1400,30.9200,31.1100,3308200,105937927.6400,-2.781300
2025-01-17,31.0000,31.8000,30.7800,31.2900,1973499,61817800.7500,0.578600
2025-01-20,31.5000,31.7900,30.7800,31.0500,1298500,40314084.5200,-0.767000
2025-01-21,31.0500,31.1500,30.5100,30.9200,988713,30396175.5700,-0.418700
2025-01-22,30.7500,30.8900,29.9300,29.9900,1047400,31870022.4900,-3.007800
2025-01-23,30.8000,30.8400,29.6600,29.6600,1493633,45355719.3300,-1.100400
2025-01-24,29.5800,29.9700,29.2200,29.8600,1064643,31543500.6600,0.674300
2025-01-27,29.9400,30.3000,29.2300,29.3100,1046600,31160208.0000,-1.841900
2025-02-05,29.8500,30.2200,29.7200,29.9900,1075825,32202707.0000,2.320000
2025-02-06,29.9700,30.6800,29.8000,30.6800,1228900,37296724.0000,2.300800
2025-02-07,30.5700,31.2600,30.5000,31.1500,2099425,64994381.0100,1.531900
2025-02-10,30.9600,31.4800,30.5000,31.4200,2364315,73296038.4600,0.866800
2025-02-11,31.4200,32.1000,30.7700,31.3500,2510012,78815437.5400,-0.222800
2025-02-12,31.2300,31.4500,30.8900,31.1100,1547962,48216194.6400,-0.765600
2025-02-13,31.2000,31.3000,30.5500,30.5800,1583925,48953974.2500,-1.703600
2025-02-14,30.5800,30.8000,29.8200,30.0800,1675448,50656919.7000,-1.635100
2025-02-17,29.9300,31.5700,29.9300,31.4300,3000794,93317850.5700,4.488000
2025-02-18,31.4300,33.8100,31.0300,32.0700,5190361,167285982.3200,2.036300
2025-02-19,31.0500,33.6800,31.0500,33.2500,5922632,195578222.3400,3.679500
2025-02-20,33.5000,34.1800,33.0000,33.7800,4671316,156842005.2500,1.594000
2025-02-21,33.4800,34.5000,33.0600,33.9400,5168768,174739962.9500,0.473700
2025-02-24,36.3000,37.0000,32.9300,33.2100,7819469,275940121.1400,-2.150900
2025-02-25,32.6400,33.8800,32.2000,32.3000,4964558,162836313.2000,-2.740100
2025-02-26,32.3800,32.7100,31.9300,32.1100,3548762,114474863.3100,-0.588200
2025-02-27,32.2500,32.4100,31.0300,31.5200,2873669,90898556.5500,-1.837400
2025-02-28,31.5200,31.7000,30.3300,30.3800,2358063,72731092.4300,-3.616800
2025-03-03,30.4200,31.2300,30.0800,30.4800,1971700,60573163.0000,0.329200
2025-03-04,30.4700,31.4200,30.2100,31.0800,1717800,53275302.0000,1.968500
2025-03-05,31.0900,31.6600,30.6200,31.6000,2440225,76413269.5000,1.673100
2025-03-06,31.8700,32.0700,31.5000,31.6600,2477524,78680799.8800,0.189900
2025-03-07,31.4400,31.9000,31.2600,31.4000,1805125,57030890.5000,-0.821200
2025-03-10,31.3600,31.8000,31.3000,31.3800,1345872,42405119.9600,-0.063700
2025-03-11,31.0800,32.2600,31.0300,31.5700,2200400,69473282.0000,0.605500
2025-03-12,31.5700,32.7600,31.4000,32.6200,4468174,144391581.2400,3.325900
2025-03-13,32.1600,32.2800,31.0600,31.7000,3088324,97773752.0800,-2.820400
2025-03-14,31.5800,31.8400,30.8500,31.7000,2065724,64826662.4000,0.000000
2025-03-17,31.7000,31.9800,31.6000,31.8100,1796800,57157688.0000,0.347000
2025-03-18,31.8000,32.5800,31.6800,32.5700,2691096,86860190.4000,2.389200
2025-03-19,32.5000,33.3600,32.2800,32.8700,3000296,98775092.8800,0.921100
2025-03-20,32.6000,33.8000,32.6000,33.3100,3255024,108212560.4500,1.338600
2025-03-21,33.0000,34.0900,32.5100,33.8100,4338405,144558124.3800,1.501100
2025-03-24,33.4000,34.4500,32.3700,33.7300,4733100,158337881.6000,-0.236600
2025-03-25,33.4500,33.5900,32.3800,32.7500,2501035,82486051.1300,-2.905400
2025-03-26,33.5200,34.4000,33.0200,33.7600,3891500,131089729.0000,3.084000
2025-03-27,34.1200,35.8100,33.6500,35.0800,7008653,243730589.3900,3.910000
2025-03-28,34.0000,34.5600,32.8600,32.9200,4285200,143642966.4000,-6.157400
2025-03-31,33.0900,33.4000,31.5200,32.9000,3962541,128168800.3400,-0.060800
2025-04-01,32.8000,33.1400,32.0100,32.1000,2956753,95949936.7600,-2.431600
2025-04-02,32.3300,32.9200,31.8800,32.0200,2197800,71139230.0000,-0.249200
2025-04-03,31.7600,32.9900,31.4000,32.2300,2560979,82295710.7600,0.655800
2025-04-07,30.7000,31.0900,25.7800,25.7800,4826700,132879987.0000,-20.012400
2025-04-08,27.7800,30.9400,27.7800,30.9400,4613330,137036031.2000,20.015500
2025-04-09,32.7300,35.9800,32.0000,33.7000,12416205,420234266.3700,8.920500
2025-04-10,32.0300,35.5000,32.0300,35.1000,11179283,381677315.8200,4.154300
2025-04-11,34.0900,34.8000,33.0000,33.0000,6843655,230273149.0100,-5.982900
2025-04-14,32.7000,33.9500,32.7000,33.5200,4438601,148718619.0100,1.575800
2025-04-15,33.3000,33.6400,32.6600,32.8600,3402168,112141898.1700,-1.969000
2025-04-16,32.8000,32.8100,31.0700,31.2200,3727400,118404760.0000,-4.990900
2025-04-17,31.3600,32.1000,30.9200,31.5100,2549900,80271459.0000,0.928900
2025-04-18,31.3500,32.8500,30.9100,31.6800,3832525,122016080.5000,0.539500
2025-04-21,32.2800,32.5800,31.3300,31.5500,2345000,74259504.0000,-0.410400
2025-04-22,31.4300,31.8700,31.1300,31.5800,2041300,64249771.0000,0.095100
2025-04-23,31.7100,32.9800,31.6600,32.9000,4404268,142373968.4800,4.179900
2025-04-24,32.9000,33.4200,32.3500,32.7400,3390300,111238378.0000,-0.486300
2025-04-25,32.5800,33.0300,32.1500,32.7300,2528468,82523780.6400,-0.030500
2025-04-28,32.2000,32.2000,29.7100,30.1100,3513200,106956126.0000,-8.004900
2025-04-29,29.9500,30.4500,29.7000,30.1400,1714300,51602492.0000,0.099600
2025-04-30,30.1700,30.5500,29.9700,29.9700,1402300,42416879.0000,-0.564000
2025-05-06,30.2100,31.4000,30.2000,31.1500,1922200,59336354.0000,3.937300
2025-05-07,31.2400,32.3900,31.2400,31.9300,2642899,84247820.1000,2.504000
2025-05-08,31.6200,32.7700,31.5000,32.4400,1618900,52260891.0000,1.597200
2025-05-09,32.5300,32.6900,31.6800,32.0500,1393600,44661301.0000,-1.202200
2025-05-12,32.1700,32.9500,32.0600,32.7500,1722300,56033193.0000,2.184100
2025-05-13,32.9000,32.9500,32.0500,32.2700,1501000,48625359.0000,-1.465600
2025-05-14,32.2100,32.5000,31.9000,32.2000,1472200,47398272.0000,-0.216900
2025-05-15,32.2000,32.3000,31.5600,31.8000,1117400,35651153.0000,-1.242200
2025-05-16,31.8100,32.7500,31.7200,32.2300,1391400,44943425.0000,1.352200
2025-05-19,32.3200,33.8300,31.8600,33.4100,3203000,105887604.0000,3.661200
2025-05-20,33.4500,34.0600,33.1700,33.7400,2869100,96656497.0000,0.987700
2025-05-21,33.7300,33.7500,33.0000,33.1800,1986668,66129232.8800,-1.659800
2025-05-22,33.0100,33.4100,32.6300,32.6900,1331600,43856345.0000,-1.476800
2025-05-23,32.6900,33.0800,32.0600,32.0600,1384925,45066430.2500,-1.927200
2025-05-26,32.0600,32.3500,31.6800,32.2000,955900,30659730.0000,0.436700
2025-05-27,32.3900,33.7000,31.8400,33.0900,2822800,92668417.0000,2.764000
2025-05-28,32.7500,34.0800,32.7500,33.0900,2720025,90808120.7500,0.000000
2025-05-29,33.0100,34.5800,32.9700,33.9600,3627100,123275508.0000,2.629200
2025-05-30,33.7300,35.3700,32.7900,33.9600,4545400,154795033.0000,1.191900
2025-06-03,33.8000,36.9800,33.8000,36.4500,8133045,291286065.5400,7.332200
2025-06-04,36.0900,36.6600,35.0000,35.5800,5065900,180104480.0000,-2.386800
2025-06-05,35.8000,35.9500,34.8000,35.1200,3100286,108998157.2800,-1.292900
2025-06-06,35.0300,35.0900,34.1900,34.7500,2760644,95414392.0000,-1.053500
2025-06-09,34.9800,35.0800,34.5100,34.9100,2246000,78147273.0000,0.460400
2025-06-10,34.8000,38.6600,34.7000,37.2500,8132465,298403202.7000,6.703000
2025-06-11,37.0000,37.2000,35.0300,35.2400,6107300,218532631.0000,-5.396000
2025-06-12,34.8900,34.9000,33.8200,34.2300,3916700,134136614.0000,-2.866100
2025-06-13,34.1000,34.2600,33.2100,33.6500,2461000,83074660.0000,-1.694400
2025-06-16,33.5600,33.9800,33.4000,33.8400,1551900,52383234.0000,0.564600
2025-06-17,33.8900,33.9600,33.0800,33.3700,1986327,66352810.7800,-1.388900
2025-06-18,33.1100,33.2900,32.6200,33.0500,1596827,52636450.6400,-0.958900
2025-06-19,33.0000,33.2100,31.8400,31.9800,2140545,69438097.7300,-3.237500
2025-06-20,32.0100,32.8400,31.5200,32.2800,2045100,65817649.0000,0.938100
2025-06-23,31.9700,33.7500,31.6500,33.3300,2543807,83903435.3600,3.252800
2025-06-24,33.6800,34.8400,33.5100,34.4800,2892309,99107180.4300,3.450300
2025-06-25,34.2300,35.9500,34.1600,35.1300,3385800,118851846.0000,1.885200
2025-06-26,34.9700,36.3600,34.8700,35.0000,3144509,111877130.3000,-0.370100
2025-06-27,35.0900,39.3900,34.9100,37.7300,6140911,226264163.0800,7.800000
2025-06-30,37.0100,39.3000,36.3800,37.5600,6494900,244778225.0000,-0.450600
2025-07-01,37.2500,37.7300,36.3600,36.6700,3474391,127673860.4200,-2.369500
2025-07-02,36.7700,38.3000,36.1100,37.8200,4631568,172889824.0800,3.136100
