date,open,high,low,close,volume,amount,pctChg
2025-01-02,77.0700,77.5000,72.1500,72.3100,1082016,81039865.7800,-6.176200
2025-01-03,72.5500,73.3000,69.7000,69.8000,698742,49748596.9000,-3.471200
2025-01-06,69.7000,71.9000,68.7000,70.5200,452528,31841813.2600,1.031500
2025-01-07,70.5100,71.8400,69.7500,71.8400,464021,32899805.3900,1.871800
2025-01-08,71.7000,71.7000,69.0500,70.6000,550317,38712643.5100,-1.726100
2025-01-09,70.2900,71.7500,70.0600,70.8000,494419,35141528.1800,0.283300
2025-01-10,70.9300,71.4500,68.6000,68.6000,517255,36174407.9700,-3.107300
2025-01-13,68.1200,69.1000,67.0900,68.7400,379373,25902976.7000,0.204100
2025-01-14,69.2900,71.5300,69.0600,71.4000,667681,47287074.7200,3.869700
2025-01-15,71.2300,71.8100,69.9300,69.9700,586030,41353432.8800,-2.002800
2025-01-16,70.4900,72.6600,69.9700,71.9000,805846,57480201.0100,2.758300
2025-01-17,71.0400,71.8100,70.7100,71.0000,470774,33578342.8500,-1.251700
2025-01-20,71.2000,72.4200,71.2000,71.6500,524637,37723400.9400,0.915500
2025-01-21,72.0000,72.7000,71.3200,72.2600,497430,35828921.5600,0.851400
2025-01-22,72.2600,72.4400,71.0600,71.2600,499537,35782402.9600,-1.383900
2025-01-23,72.8500,75.2000,72.0500,73.0000,1275106,94335390.6400,2.441800
2025-01-24,72.8500,73.2200,71.8300,72.8500,752861,54511255.4200,-0.205500
2025-01-27,73.0000,73.1800,70.8600,70.8900,491721,35349207.4400,-2.690500
2025-02-05,71.5000,71.6700,69.8300,70.3100,519771,36627549.9700,-0.818200
2025-02-06,70.5000,73.1100,70.0900,72.9800,913079,65979258.9100,3.797500
2025-02-07,73.0000,74.3000,72.2900,73.4300,935245,68587704.9000,0.616600
2025-02-10,73.0000,75.3100,72.7000,74.4900,816670,60377041.2000,1.443600
2025-02-11,74.6000,77.9800,73.9000,77.4300,1466781,112602151.8400,3.946800
2025-02-12,77.1000,77.1000,75.5700,76.3000,971114,73857350.3000,-1.459400
2025-02-13,76.2100,76.3000,74.3500,74.4300,672740,50640187.6500,-2.450900
2025-02-14,74.4200,76.2900,74.2700,74.9800,592695,44650641.1500,0.738900
2025-02-17,74.7800,75.6600,73.6900,74.5600,613742,45684882.3100,-0.560100
2025-02-18,74.0800,75.3400,73.1500,73.2800,665257,49378968.4100,-1.716700
2025-02-19,73.0800,74.8100,73.0000,74.7700,571453,42376985.7900,2.033300
2025-02-20,74.5000,75.7700,73.6100,75.5000,816336,61087557.8000,0.976300
2025-02-21,75.4100,75.8800,74.5000,74.6700,831980,62510824.8300,-1.099300
2025-02-24,74.6600,74.6600,73.2000,73.7900,729925,53892630.1800,-1.178500
2025-02-25,73.0200,74.4300,73.0200,73.2800,478460,35214414.7500,-0.691200
2025-02-26,73.2800,75.0800,73.2800,74.1700,843840,62759557.4000,1.214500
2025-02-27,74.5100,74.7500,72.7200,74.0000,883099,65024209.8200,-0.229200
2025-02-28,73.3000,73.6600,70.2600,70.2600,978299,70201122.3000,-5.054100
2025-03-03,70.4000,72.2200,70.2500,71.2400,612035,43732591.4400,1.394800
2025-03-04,71.2400,72.8000,70.5300,72.2500,462200,33215863.0000,1.417700
2025-03-05,72.2300,72.5000,71.2500,71.7200,483518,34751547.5600,-0.733600
2025-03-06,72.0000,73.4900,71.8000,72.8100,677780,49264783.2000,1.519800
2025-03-07,72.5000,72.8000,70.5200,71.4300,717759,51567430.6200,-1.895300
2025-03-10,71.4300,72.8800,71.1900,71.9100,473138,34083544.3500,0.672000
2025-03-11,71.2200,72.3800,70.4300,72.3000,737979,52658531.4800,0.542300
2025-03-12,71.9600,76.3300,71.9600,76.2500,1863836,139423078.6100,5.463300
2025-03-13,75.5000,77.2300,73.8800,74.5600,1189180,89499161.0000,-2.216400
2025-03-14,74.0000,75.2000,73.3300,74.9000,895680,66647867.0000,0.456000
2025-03-17,74.8900,75.1900,73.7600,73.9500,659501,48952765.9000,-1.268400
2025-03-18,73.9500,75.0100,73.6400,74.3900,891213,66096463.4000,0.595000
2025-03-19,74.3300,74.3300,73.2700,73.5900,639360,47138362.7800,-1.075400
2025-03-20,73.5300,77.0000,73.5300,75.5600,1560463,118273777.0200,2.677000
2025-03-21,75.4800,78.0100,74.1800,75.8900,1759222,134644017.7600,0.436700
2025-03-24,76.1300,79.9000,75.0000,79.2400,2259680,175395981.5100,4.414300
2025-03-25,79.0000,81.0000,76.7200,80.9500,1976123,155714957.6800,2.158000
2025-03-26,80.0600,81.0000,79.1400,79.6700,1661847,133074735.8400,-1.581200
2025-03-27,79.0600,79.1000,76.6000,76.6000,1253907,97668832.9800,-3.853400
2025-03-28,76.0000,76.8100,74.4700,74.4900,1069838,80499744.4200,-2.754600
2025-03-31,73.5000,74.0700,71.8100,73.5800,769159,56008205.0500,-1.221600
2025-04-01,73.6400,75.3100,73.4800,73.8800,563389,41814310.4000,0.407700
2025-04-02,73.7800,75.0900,73.0300,74.0300,622600,46266650.0000,0.203000
2025-04-03,71.9600,73.1800,69.5800,70.4600,1243265,88651976.8000,-4.822400
2025-04-07,63.8500,65.4400,56.5000,57.8600,1333474,81272873.0500,-17.882500
2025-04-08,58.0000,60.8700,57.5100,58.3700,910838,53541071.2200,0.881400
2025-04-09,57.7600,60.2900,54.1100,60.1000,1060468,61117038.7000,2.963900
2025-04-10,61.5100,62.9400,61.1600,61.4400,863754,53592508.5400,2.229600
2025-04-11,60.7700,62.3900,60.3100,61.5200,546400,33663952.0000,0.130200
2025-04-14,62.4000,63.3800,62.1400,62.2400,608800,38134473.0000,1.170400
2025-04-15,62.2400,62.7600,61.9300,62.5500,416424,25916729.5200,0.498100
2025-04-16,62.0100,62.6000,60.6600,61.4800,438935,27065634.2700,-1.710600
2025-04-17,60.9400,62.8700,60.9400,61.9000,402472,25069154.4800,0.683100
2025-04-18,61.9000,64.7100,61.6500,64.1000,977780,62285187.8000,3.554100
2025-04-21,63.9000,64.8500,63.3000,64.8500,607680,38921449.7600,1.170000
2025-04-22,66.0100,69.4100,65.1500,67.1700,1310347,88419723.9000,3.577500
2025-04-23,67.0100,71.3400,67.0100,68.6800,1173490,81050345.9000,2.248000
2025-04-24,68.1900,69.4900,66.9800,68.0400,867621,59087123.3000,-0.931900
2025-04-25,67.7900,69.9800,67.2800,68.4000,751560,51687540.1600,0.529100
2025-04-28,68.4000,68.4000,67.1500,67.3800,459400,31089969.0000,-1.491200
2025-04-29,67.3700,69.0000,66.9900,67.8800,487260,33296253.4000,0.742100
2025-04-30,68.5000,69.1000,67.9000,68.0000,530469,36179846.2000,0.176800
2025-05-06,68.0000,70.6900,68.0000,70.3300,837588,58457408.5600,3.426500
2025-05-07,71.3800,72.4100,70.0100,71.5000,915564,65474346.3900,1.663600
2025-05-08,71.2800,72.3000,71.2800,72.0000,566068,40736988.1800,0.699300
2025-05-09,71.5800,72.0000,70.6100,70.8800,579037,41209526.2900,-1.555600
2025-05-12,71.2800,72.3700,70.9900,71.7600,543400,39065229.0000,1.241500
2025-05-13,72.0800,73.0000,71.0700,71.6100,665136,47819406.6600,-0.209000
2025-05-14,71.5700,71.7000,70.1600,70.6000,683849,48355674.9500,-1.410400
2025-05-15,70.4000,70.7200,69.0300,69.4300,550200,38348192.2000,-1.657200
2025-05-16,69.1300,70.8600,69.1300,70.2900,484049,34058460.9700,1.238700
2025-05-19,70.0200,70.2800,69.0900,69.6600,387600,26940098.5000,-0.896300
2025-05-20,69.6600,72.3000,69.3400,71.2500,707074,50078185.8700,2.282500
2025-05-21,71.8900,73.5000,71.0000,72.5300,863645,62262593.3500,1.796500
2025-05-22,72.0000,72.7200,70.8000,71.0200,611236,43794728.8000,-2.081900
2025-05-23,71.1800,74.6500,70.8500,72.7100,1121646,81908387.4200,2.379600
2025-05-26,74.9800,79.3000,73.0100,77.2400,2589859,198273451.5700,6.230200
2025-05-27,55.3000,55.9500,51.2500,51.8500,2668229,139895222.7500,-5.279500
2025-05-28,51.5900,53.9300,50.4000,53.0200,2784940,145364720.4100,2.256500
2025-05-29,52.8800,54.3700,52.7000,52.7600,1666386,88684866.6900,-0.490400
2025-05-30,52.4000,56.5600,51.7200,54.0100,3272952,177641652.1000,2.369200
2025-06-03,54.0100,54.4500,52.6100,53.3500,1521880,80871521.5000,-1.222000
