date,open,high,low,close,volume,amount,pctChg
2025-09-30,120.0000,142.0000,114.0400,116.8000,11432999,1428717371.4900,332.592600
2025-10-09,122.2600,199.0000,119.3300,164.5600,11689445,1690501435.9700,40.890400
2025-10-10,142.0000,162.5800,136.2000,142.2700,8294934,1215947606.3800,-13.545200
2025-10-13,135.1600,162.9800,134.1800,148.5000,7522026,1135297589.9000,4.379000
2025-10-14,142.5500,152.0000,133.0000,137.5000,6552426,929767366.1900,-7.407400
2025-10-15,133.3700,135.8800,123.3000,127.2300,5776031,730815360.3500,-7.469100
2025-10-16,126.0100,152.6800,123.6100,152.6800,7282910,1045349347.7500,20.003100
2025-10-17,152.9900,177.9700,152.0800,166.0000,9312949,1559487924.7900,8.724100
2025-10-20,169.3200,169.9200,153.0300,164.3100,5565032,905017833.7000,-1.018100
2025-10-21,165.5700,197.1700,160.3000,197.1700,7530036,1363977648.7900,19.998800
2025-10-22,184.0000,234.5800,182.0000,208.2900,9229153,1882492959.2100,5.639800
2025-10-23,202.0000,249.4900,201.8800,237.1100,8588726,1944661087.8400,13.836500
2025-10-24,240.0000,249.4000,224.3000,233.3200,7738318,1826821964.8400,-1.598400
2025-10-27,228.9500,255.8500,227.0000,240.0000,6774637,1628862184.6900,2.863000
2025-10-28,231.0000,236.9300,220.0000,222.5000,6143929,1386623907.3200,-7.291700
2025-10-29,231.0000,246.4000,228.5000,236.2000,6638252,1583293717.6900,6.157300
2025-10-30,230.9000,242.6000,220.0500,223.7900,4945076,1116404816.1100,-5.254000
2025-10-31,218.5000,221.9300,202.1000,204.1700,4601788,952571061.9400,-8.767100
2025-11-03,201.5600,234.0100,201.5600,228.2800,6137251,1335015343.2800,11.808800
2025-11-04,226.0000,236.5000,220.1300,227.3000,4654433,1057595464.5000,-0.429300
2025-11-05,213.3600,221.9100,211.0000,216.0000,3585506,777012398.1500,-4.971400
2025-11-06,220.6000,228.0000,208.1900,212.5900,4323488,944882994.5100,-1.578700
2025-11-07,202.0900,207.9900,198.5000,203.6000,4127936,838649818.3400,-4.228800
2025-11-10,202.2000,204.9800,186.8200,194.3000,4049227,779572821.6600,-4.567800
2025-11-11,192.0000,193.6000,180.6700,181.9900,3801753,707625298.1900,-6.335600
2025-11-12,182.7000,195.0000,179.0000,185.5100,5129008,966274269.8100,1.934200
2025-11-13,179.8900,188.5000,176.5600,183.9000,3951948,721957177.8700,-0.867900
2025-11-14,177.1000,178.1000,171.5000,174.2100,3334139,582392712.6500,-5.269200
2025-11-17,173.8100,177.7100,172.7000,174.9100,2302086,402934284.2700,0.401800
2025-11-18,173.6100,179.6800,170.1000,174.0600,2963155,516983696.8400,-0.486000
2025-11-19,171.2300,178.1800,166.8000,170.1300,3037651,522836378.1300,-2.257800
2025-11-20,171.0000,172.8700,162.4000,163.6000,2639269,436201425.1800,-3.838200
2025-11-21,159.5900,162.8900,154.5100,156.0000,2541533,400791432.0100,-4.645500
2025-11-24,157.5000,165.4400,155.9200,161.7200,2474261,399146554.9000,3.666700
2025-11-25,162.0100,167.8300,161.8100,163.3200,2630692,432696803.8000,0.989400
2025-11-26,160.3300,166.0000,160.0200,163.6100,2261768,368941495.2800,0.177600
2025-11-27,162.0300,183.2000,162.0000,178.4900,5549238,963677328.3000,9.094800
2025-11-28,171.8500,175.6600,168.6000,175.4500,3902618,672905460.1400,-1.703200
2025-12-01,174.8000,174.8200,167.9200,169.6600,2834933,483205209.1200,-3.300100
2025-12-02,169.9800,171.6000,164.5100,164.6400,2314926,387038732.6500,-2.958900
2025-12-03,165.1800,165.7700,159.2100,162.1900,2169441,352208981.5500,-1.488100
2025-12-04,161.5000,162.0800,158.3000,160.2500,1531245,244789909.2400,-1.196100
2025-12-05,160.8800,163.5000,154.5800,161.9400,1997568,318482065.8000,1.054600
2025-12-08,161.6000,173.3300,161.6000,171.5000,3489442,588159551.5000,5.903400
2025-12-09,169.7900,171.9000,167.8000,167.9700,2170367,367366084.2300,-2.058300
2025-12-10,167.3800,177.6000,166.2300,172.3900,3696721,642118499.1500,2.631400
2025-12-11,170.4500,177.3400,163.0000,168.9000,3363180,568012295.3400,-2.024500
2025-12-12,166.1800,169.9800,164.0500,166.0000,2238150,373421364.6300,-1.717000
