date,open,high,low,close,volume,amount,pctChg
2025-01-02,46.9400,47.6400,46.0600,46.3000,3386091,158363035.8600,-0.729000
2025-01-03,46.4000,47.4700,44.8800,47.0200,4857740,225981305.9100,1.555100
2025-01-06,46.1200,46.1800,42.6600,43.0500,4377631,192186938.9700,-8.443200
2025-01-07,43.0500,43.2900,41.8000,43.2000,3701415,157777071.3400,0.348400
2025-01-08,42.7700,43.4800,41.9900,43.1600,2995544,128321532.6300,-0.092600
2025-01-09,43.0000,44.3000,42.6600,43.3300,3400224,148109049.6500,0.393900
2025-01-10,43.0000,43.6200,42.1100,42.2300,2871369,122880721.1000,-2.538700
2025-01-13,41.3800,43.0000,40.9500,41.5900,2655329,110795519.2400,-1.515500
2025-01-14,41.7200,43.4000,41.6200,43.4000,3758526,160829673.3700,4.352000
2025-01-15,43.0200,43.2700,42.0200,42.2300,3032118,129119703.0600,-2.695900
2025-01-16,42.3500,43.6600,42.3500,43.0500,3744318,161104093.2000,1.941700
2025-01-17,42.7900,42.8000,41.7500,41.8000,2707153,114130543.0200,-2.903600
2025-01-20,42.1200,43.6000,41.7600,43.2200,3513475,150456922.5700,3.397100
2025-01-21,43.1300,43.4000,42.3000,43.0500,2291376,98001818.3200,-0.393300
2025-01-22,43.0200,43.0700,42.0300,42.1000,1768057,75112881.8100,-2.206700
2025-01-23,42.5100,42.9500,41.2500,41.2500,2309476,97731274.5600,-2.019000
2025-01-24,41.2000,41.4500,40.5300,41.2900,2043646,83715915.6400,0.097000
2025-01-27,41.5000,41.7700,39.9900,40.0000,1999222,81571409.7400,-3.124200
2025-02-05,40.2200,40.7800,40.0000,40.6900,1617312,65327989.9400,1.725000
2025-02-06,40.4800,41.9500,40.3800,41.9500,2104379,86985616.6900,3.096600
2025-02-07,41.8100,42.6600,41.6300,42.2000,2937909,124152716.7100,0.595900
2025-02-10,42.2800,42.6700,42.0700,42.6700,1753918,74406196.2000,1.113700
2025-02-11,42.6700,42.9600,42.0200,42.8900,1751794,74519573.1400,0.515600
2025-02-12,42.6800,43.2100,42.3700,42.9500,1649796,70653969.3200,0.139900
2025-02-13,42.9500,43.1600,42.1100,42.1100,1587000,67403897.3600,-1.955800
2025-02-14,42.0700,50.5300,41.9400,50.5300,9488241,443654987.8600,19.995300
2025-02-17,52.3500,60.2500,50.3100,57.0000,12445767,671247663.6100,12.804300
2025-02-18,53.7600,54.9700,51.3800,51.9000,6563905,348388322.5900,-8.947400
2025-02-19,51.7700,52.9800,50.8700,52.6900,4908346,255479458.1800,1.522200
2025-02-20,52.6000,52.6500,49.5300,49.9500,4961509,250558180.5000,-5.200200
2025-02-21,49.8000,50.4800,49.0400,50.1800,3663020,182772312.8100,0.460500
2025-02-24,50.1000,54.9700,49.5100,54.2000,7116462,375692322.3900,8.011200
2025-02-25,53.0600,54.3500,51.8600,54.3300,4752445,252301677.2700,0.239900
2025-02-26,53.8700,57.2800,53.0000,53.4000,4835866,264120667.2800,-1.711800
2025-02-27,53.3000,53.3000,50.2700,50.9000,3719200,191368944.9400,-4.681600
2025-02-28,50.1000,55.5000,50.0000,53.2300,5050425,266807712.6700,4.577600
2025-03-03,53.8700,56.2200,52.0000,55.8000,6152839,335178746.2200,4.828100
2025-03-04,55.0100,55.0100,52.8800,53.3900,3989113,214224595.3300,-4.319000
2025-03-05,52.9800,54.9000,51.6800,54.7400,3902286,209573219.9000,2.528600
2025-03-06,54.9200,58.2000,53.7100,57.1600,5780281,326479512.7300,4.420900
2025-03-07,57.1800,62.0000,54.8300,54.8300,7326963,429797279.5700,-4.076300
2025-03-10,53.9000,57.2100,53.0500,56.6000,3914713,217740717.5200,3.228200
2025-03-11,55.1700,62.0000,54.8100,60.5000,6078288,354892524.2200,6.890500
2025-03-12,61.0000,61.6100,58.5000,60.5100,4387289,263493510.7300,0.016500
2025-03-13,60.0200,63.5000,59.5200,61.4900,5060279,312562076.0000,1.619600
2025-03-14,60.6000,63.9000,59.0000,59.5900,5578670,343418810.8100,-3.089900
2025-03-17,59.1000,60.5100,56.5600,60.5000,4320870,252641377.7200,1.527100
2025-03-18,60.0000,60.3600,57.8000,57.8700,3503767,205698969.7500,-4.347100
2025-03-19,57.5000,58.7600,56.5000,56.5100,2904765,166645323.8400,-2.350100
2025-03-20,56.7400,57.3800,54.6100,54.8800,3037247,168293543.1800,-2.884400
2025-03-21,54.8000,55.1200,53.2900,53.3500,2269666,122595795.8400,-2.787900
2025-03-24,53.1000,53.5000,50.6000,52.3300,2503946,130118352.2800,-1.911900
2025-03-25,52.3300,53.1300,51.2100,52.6300,1891346,98823477.6400,0.573300
2025-03-26,52.7500,55.1500,52.7500,54.3400,2923112,158197131.5200,3.249100
2025-03-27,54.0000,54.7900,52.5500,52.5500,1984300,106613112.0000,-3.294100
2025-03-28,51.6200,52.5500,50.3000,50.5500,1886864,96671197.2000,-3.805900
2025-03-31,50.1000,51.3600,49.7600,50.6000,1393234,70473970.1800,0.098900
2025-04-01,50.3000,51.5300,50.3000,51.2100,1128216,57680948.7900,1.205500
2025-04-02,51.2900,51.5800,50.5600,50.5700,1055122,53850583.6200,-1.249800
2025-04-03,50.0000,51.2600,49.8500,50.5100,1032642,52297894.5800,-0.118600
2025-04-07,45.5700,48.4700,40.5000,41.1800,2711964,118140261.5200,-18.471600
2025-04-08,41.7900,44.3600,41.7900,43.1700,2707750,117317545.0400,4.832400
2025-04-09,42.5200,44.9500,38.9000,44.3800,2772246,118647504.2900,2.802900
2025-04-10,45.5100,46.2000,44.7800,44.8000,2190163,99605946.2600,0.946400
2025-04-11,44.4000,45.5700,44.2000,44.9600,1270003,57241811.8500,0.357100
2025-04-14,46.0400,46.1500,45.1200,45.4900,1268402,57740625.1600,1.178800
2025-04-15,45.6200,45.7800,44.9000,45.4900,964918,43775008.4600,0.000000
2025-04-16,45.3000,47.6300,44.9200,47.6300,2739906,127788275.2500,4.704300
2025-04-17,47.0300,48.3100,46.5000,46.6500,2412896,114193269.7000,-2.057500
2025-04-18,46.0000,46.1000,42.8000,43.6400,2953629,129736169.8900,-6.452300
2025-04-21,43.1400,44.3900,42.9400,44.3600,1303946,57403812.8200,1.649900
2025-04-22,44.2100,44.3000,43.3600,43.4200,1228000,53545963.0000,-2.119000
2025-04-23,43.4200,46.2000,43.4200,44.6700,1930448,86848576.2000,2.878900
2025-04-24,44.5200,44.9300,42.8600,43.3000,1311300,57261335.9600,-3.066900
2025-04-25,43.6800,43.8800,42.6900,42.7500,1398282,60206301.7800,-1.270200
2025-04-28,42.7500,42.9000,42.0900,42.6500,846064,36042072.6400,-0.233900
2025-04-29,42.6500,43.9800,42.1500,43.2500,1283100,55543458.0000,1.406800
2025-04-30,43.5500,43.5600,42.7700,42.7700,1174682,50697739.2600,-1.109800
2025-05-06,43.0000,44.3000,42.7900,44.3000,1505582,66120367.8400,3.577300
2025-05-07,45.1400,45.5000,44.3100,45.3800,2275200,102448335.1400,2.437900
2025-05-08,44.9400,46.3900,44.8000,45.8400,1772100,80982744.0000,1.013700
2025-05-09,45.8100,46.1000,44.3700,44.4800,1401100,62952816.0800,-2.966800
2025-05-12,44.9100,45.9500,44.9100,45.2500,1448230,65676437.5000,1.731100
2025-05-13,45.7500,47.4000,45.7000,46.8600,3395360,158211786.9600,3.558000
2025-05-14,46.8000,46.8000,45.8300,46.0500,2087800,96343021.9000,-1.728600
2025-05-15,46.0700,46.4000,45.1800,45.2700,1223334,55617676.0000,-1.693800
2025-05-16,45.0100,45.9600,45.0000,45.2200,1004962,45732126.1200,-0.110400
2025-05-19,45.3000,45.4000,44.1800,44.8800,1056886,47154682.3400,-0.751900
2025-05-20,45.0000,45.4100,44.7600,45.1800,932700,42041863.0000,0.668400
2025-05-21,45.1100,45.9700,44.1300,45.5000,1590300,71425568.0000,0.708300
2025-05-22,45.4400,45.8300,44.3400,44.4500,1287600,57967122.0000,-2.307700
2025-05-23,44.3100,45.6800,44.2300,44.5400,1572100,70878800.0000,0.202500
2025-05-26,44.5000,45.2100,44.1000,44.8800,967500,43365044.0000,0.763400
2025-05-27,44.8500,44.9000,43.6100,44.8000,1311170,57973998.2500,-0.178300
2025-05-28,34.3000,34.3200,33.4300,33.4400,1325610,44796799.7000,-2.079100
2025-05-29,33.3500,34.3100,33.3000,34.0600,1454120,49387202.0000,1.854100
2025-05-30,34.0700,34.2000,33.0300,33.0500,1373880,45933737.9000,-2.965400
2025-06-03,33.2600,33.5600,33.0000,33.0500,955610,31824233.6000,0.000000
2025-06-04,33.2000,33.2900,32.9500,33.2100,970280,32116890.7000,0.484100
2025-06-05,33.1000,33.2900,32.8000,33.2200,1025360,33949555.4000,0.030100
2025-06-06,33.2300,34.8400,33.0200,34.1100,2791028,95557065.6100,2.679100
2025-06-09,34.1100,34.5500,33.8800,34.4000,1660803,56985186.9900,0.850200
2025-06-10,34.3800,34.5300,33.2200,33.8300,1788780,60587539.9000,-1.657000
2025-06-11,33.8300,34.7100,33.8000,34.0100,1513770,51798300.5000,0.532100
2025-06-12,34.0200,35.4700,33.6000,35.2700,3636441,127378901.8400,3.704800
2025-06-13,34.9500,36.0000,34.0600,35.1200,3495010,122155070.6000,-0.425300
2025-06-16,34.8000,35.4800,34.8000,34.9100,1994940,70034871.8000,-0.597900
2025-06-17,34.9100,35.0300,34.3500,34.4900,1549730,53604794.3000,-1.203100
2025-06-18,34.2500,34.4500,33.8000,34.1300,1177516,40129708.4600,-1.043800
2025-06-19,34.0000,34.2700,32.8400,32.8700,1602210,53668916.5000,-3.691800
2025-06-20,32.6000,33.3400,32.1800,32.2700,1917583,62686486.4700,-1.825400
2025-06-23,32.0000,32.9800,31.8500,32.7000,1298748,42370816.7400,1.332500
2025-06-24,32.7500,33.8600,32.6000,33.5700,1596778,53362093.0800,2.660600
2025-06-25,33.5100,33.8500,33.3900,33.7500,1468851,49388424.3400,0.536200
2025-06-26,33.7400,34.3000,33.4900,33.5800,1428455,48420620.4900,-0.503700
2025-06-27,33.6600,34.1500,33.6600,33.8900,1319790,44753478.5600,0.923200
2025-06-30,33.8800,34.4300,33.8800,34.3000,1583620,54168876.6400,1.209800
2025-07-01,34.4800,34.4800,33.7400,34.1900,1258395,42872686.1200,-0.320700
2025-07-02,34.3100,34.8500,34.1000,34.5400,1931755,66455331.9400,1.023700
2025-07-03,34.6000,34.6500,34.1100,34.2300,1409767,48390308.5900,-0.897500
2025-07-04,34.6500,34.8400,33.8500,33.9300,1662544,56785600.1400,-0.876400
2025-07-07,33.7800,34.3500,33.7200,34.1000,972261,33197226.8700,0.501000
2025-07-08,34.1400,34.8500,34.0000,34.7000,2096550,72459600.9100,1.759500
2025-07-09,34.6400,34.8500,34.2200,34.2800,1466499,50519182.5000,-1.210400
2025-07-10,34.2800,35.0300,34.1200,34.7400,2193501,75841098.4700,1.341900
2025-07-11,34.5000,34.9000,34.2200,34.3500,1701893,58618253.1700,-1.122600
2025-07-14,34.4000,36.5800,34.4000,35.3700,4681753,166486926.8700,2.969400
2025-07-15,35.2600,35.2600,34.2800,34.7000,2872562,99621603.7700,-1.894300
2025-07-16,34.7300,34.8800,34.2500,34.3900,1760319,60658175.8800,-0.893400
2025-07-17,34.4200,34.6000,34.2500,34.6000,1456438,50151993.9200,0.610600
2025-07-18,34.6600,34.9300,34.3500,34.6200,1997974,69143804.7400,0.057800
2025-07-21,34.6100,34.9500,34.4400,34.8700,1709976,59453463.4200,0.722100
2025-07-22,34.8600,35.0300,34.5300,34.6600,1615166,56037461.9500,-0.602200
2025-07-23,34.5500,35.1100,34.4000,34.4900,2459157,85231148.8000,-0.490500
2025-07-24,34.8300,35.0700,34.5000,35.0600,2496296,86845686.6300,1.652700
2025-07-25,35.0000,35.3000,34.8900,35.2500,2438306,85689638.0100,0.541900
2025-07-28,35.2600,35.3600,34.7500,34.8900,2050952,71675055.9600,-1.021300
2025-07-29,34.8900,34.9300,34.0600,34.5500,1987296,68400676.0200,-0.974500
2025-07-30,34.4200,34.9500,33.8900,34.9300,2342781,80650249.2100,1.099900
2025-07-31,35.2300,35.7400,34.1900,34.3400,3291400,115031222.4400,-1.689100
2025-08-01,34.1400,34.4000,33.9900,34.2100,1415252,48389403.1300,-0.378600
2025-08-04,34.0100,34.5500,33.8600,34.4400,1278773,43837245.3900,0.672300
2025-08-05,34.5200,34.8900,34.4600,34.8600,2111880,73143268.0600,1.219500
2025-08-06,34.6900,35.6500,34.6700,35.4300,3418713,120726991.7100,1.635100
2025-08-07,35.4300,35.7600,35.0800,35.2000,1975312,69825221.6900,-0.649200
2025-08-08,35.2200,35.2200,34.6900,34.8000,1401567,48850690.2500,-1.136400
2025-08-11,34.8300,35.4200,34.8300,35.3100,1709313,60241387.3900,1.465500
2025-08-12,35.3000,35.4700,35.0100,35.3100,1182564,41656523.5800,0.000000
2025-08-13,35.3900,35.4100,35.0600,35.1700,1339615,47161887.8400,-0.396500
2025-08-14,35.2200,35.2200,34.1000,34.1000,2169006,75140251.7700,-3.042400
2025-08-15,34.0100,34.7700,34.0100,34.6400,1405452,48439397.4700,1.583600
2025-08-18,34.6900,35.5500,34.6500,35.3700,2652015,93568625.0000,2.107400
2025-08-19,35.3900,35.6300,35.1500,35.4900,2213662,78306044.1900,0.339300
2025-08-20,35.4800,35.8000,35.2200,35.6800,2180191,77633196.5600,0.535400
2025-08-21,35.6800,37.3900,35.4000,36.3000,5900809,215367511.6900,1.737700
2025-08-22,36.4600,36.5900,35.9400,36.1200,3019636,109245103.7700,-0.495900
2025-08-25,36.2500,36.5000,35.8100,36.0000,2581243,93021376.8600,-0.332200
2025-08-26,36.0100,36.3600,35.7200,36.1700,2139356,77347815.2200,0.472200
2025-08-27,36.0000,36.3100,34.9000,34.9400,2836600,101105656.9200,-3.400600
