date,open,high,low,close,volume,amount,pctChg
2025-01-02,20.2400,20.3600,19.2000,19.5800,1841531,36583871.2900,-3.260900
2025-01-03,19.5800,19.6200,18.3600,18.4500,1579855,29804532.5100,-5.771200
2025-01-06,18.5300,18.9000,17.8000,18.7800,1321854,24559990.8800,1.788600
2025-01-07,18.7800,19.8000,18.7600,19.7300,1482080,28469234.5500,5.058600
2025-01-08,19.7200,19.8200,18.8600,19.3600,1533057,29574830.0200,-1.875300
2025-01-09,19.3400,19.6800,19.1500,19.3700,1223527,23723713.5300,0.051700
2025-01-10,19.3500,20.6000,19.1500,19.4800,2606691,51328160.3600,0.567900
2025-01-13,19.8500,20.1000,19.3300,19.5700,1880464,37017912.8000,0.462000
2025-01-14,20.0500,23.4500,20.0500,22.0100,6588540,146576345.2800,12.468100
2025-01-15,21.3500,21.4900,20.7100,20.7100,4827983,101775138.3800,-5.906400
2025-01-16,20.7000,21.0400,20.3000,20.7800,3375002,69884646.6900,0.338000
2025-01-17,20.7400,21.2000,19.9000,20.8000,3004578,61503541.7200,0.096200
2025-01-20,20.8000,20.8800,20.4700,20.5100,1750445,36150296.8800,-1.394200
2025-01-21,20.5100,20.6700,20.2200,20.3600,1221890,24924169.9200,-0.731400
2025-01-22,20.4600,20.5500,20.0500,20.1700,1278549,25892905.9300,-0.933200
2025-01-23,20.3000,20.6400,20.1700,20.1800,1420779,29030944.9000,0.049600
2025-01-24,20.2700,20.3900,20.0300,20.3800,1040741,21064742.2800,0.991100
2025-01-27,21.0000,21.4000,20.5700,20.6700,2410429,50656258.1100,1.423000
2025-02-05,20.4000,20.8000,20.2100,20.7400,1668268,34339708.5600,0.338700
2025-02-06,20.7600,20.9200,20.3600,20.9200,1651658,34164526.2900,0.867900
2025-02-07,20.9700,21.1600,20.7000,20.9900,2254932,47223563.7800,0.334600
2025-02-10,21.0000,21.0000,20.7400,20.9300,1316648,27494670.9600,-0.285900
2025-02-11,20.9300,20.9300,20.5600,20.7100,1207797,24985526.1200,-1.051100
2025-02-12,20.7100,20.8300,20.5000,20.7200,1209071,24960133.8800,0.048300
2025-02-13,20.7200,20.8300,20.4600,20.5000,1199991,24786019.8600,-1.061800
2025-02-14,20.4300,20.7500,20.3700,20.5700,1369255,28146811.8700,0.341500
2025-02-17,20.5000,20.6300,20.3100,20.4800,1280057,26206413.8700,-0.437500
2025-02-18,20.7000,20.8400,19.9300,20.1300,2045606,42114230.5600,-1.709000
2025-02-19,20.1500,20.3800,20.0100,20.3700,1210600,24548730.0000,1.192300
2025-02-20,20.4400,20.4500,20.1000,20.3500,1102082,22338678.8500,-0.098200
2025-02-21,20.3600,20.3600,20.1000,20.1900,1211375,24456662.9900,-0.786200
2025-02-24,20.2000,20.2500,19.9000,20.0900,1297994,26024637.2500,-0.495300
2025-02-25,20.0800,20.0800,19.8000,19.9100,1169161,23269432.0700,-0.896000
2025-02-26,19.9900,20.2300,19.9400,20.1900,1132200,22780046.0000,1.406300
2025-02-27,20.2200,20.2900,19.8600,20.2100,1743214,35041350.4300,0.099100
2025-02-28,20.1500,20.2000,19.5000,19.5400,1211146,24035845.5300,-3.315200
2025-03-03,19.5400,19.9200,19.4600,19.6800,927227,18335570.6800,0.716500
2025-03-04,19.7700,19.9100,19.5000,19.8900,788870,15616778.2900,1.067100
2025-03-05,19.9000,19.9100,19.4100,19.5900,977100,19144174.0000,-1.508300
2025-03-06,19.6600,20.0800,19.6200,19.9700,1262141,25089842.1000,1.939800
2025-03-07,19.9700,19.9800,19.6700,19.7700,1069514,21209346.6000,-1.001500
2025-03-10,19.7600,19.9400,19.7000,19.8900,709400,14070744.0000,0.607000
2025-03-11,19.8400,19.8400,19.2300,19.5800,1378211,26896419.3800,-1.558600
2025-03-12,19.6400,19.6700,19.4300,19.5100,1101810,21509505.5000,-0.357500
2025-03-13,19.5600,19.6000,18.5900,18.8300,2561227,48403702.7100,-3.485400
2025-03-14,18.8500,19.1200,18.6100,19.1000,2246057,42447671.8900,1.433900
2025-03-17,19.1900,19.2800,19.0000,19.2500,1624800,31118661.7500,0.785300
2025-03-18,19.2500,19.4600,19.1600,19.4400,1471520,28449632.8000,0.987000
2025-03-19,19.4100,19.6800,19.1600,19.2400,2018955,39234198.3200,-1.028800
2025-03-20,19.2300,19.3900,19.1100,19.2000,1343955,25900056.3400,-0.207900
2025-03-21,19.2100,19.2800,18.8300,18.9200,1443144,27400086.2800,-1.458300
2025-03-24,18.9400,19.0500,18.1800,18.6000,1794157,33391077.2200,-1.691300
2025-03-25,18.7500,19.4400,18.5100,18.9300,2238427,42343080.1900,1.774200
2025-03-26,18.9000,19.5000,18.8500,19.4200,2503300,48419808.8600,2.588500
2025-03-27,19.3900,19.5300,18.9300,18.9900,2024600,38872692.0000,-2.214200
2025-03-28,18.8700,19.0000,18.5500,18.6500,1056657,19807407.8800,-1.790400
