date,open,high,low,close,volume,amount,pctChg
2025-01-02,172.9700,174.0400,164.0100,166.5000,812405,137943118.0900,-4.089900
2025-01-03,165.4300,167.6000,162.8500,166.7800,685205,113148791.6200,0.168200
2025-01-06,166.0000,169.6900,165.0500,167.8000,391411,65521724.3100,0.611600
2025-01-07,167.4100,168.4400,165.2700,168.3000,398600,66612269.2000,0.298000
2025-01-08,167.2500,167.6700,164.3100,166.4900,415035,68898919.7500,-1.075500
2025-01-09,165.6800,167.7900,165.4900,165.8800,361448,60252153.4000,-0.366400
2025-01-10,164.9900,165.9900,158.0000,158.1300,628121,101925192.9700,-4.672100
2025-01-13,156.3200,158.9000,155.0800,158.2900,475440,74715009.6000,0.101200
2025-01-14,157.0000,163.2900,157.0000,163.2000,624480,100559925.1200,3.101900
2025-01-15,162.0200,163.4400,158.6300,158.9500,604050,97218588.3900,-2.604200
2025-01-16,159.0100,161.5300,158.0000,159.2700,424754,67787557.4000,0.201300
2025-01-17,158.4900,162.8800,158.1100,160.9000,482182,77559644.1700,1.023400
2025-01-20,161.4900,165.7900,161.0000,163.2300,572305,93847377.7100,1.448100
2025-01-21,163.2100,164.3000,159.1100,160.3800,648709,104282800.1100,-1.746000
2025-01-22,159.0500,159.8000,157.1600,158.0000,518520,81944020.4000,-1.484000
2025-01-23,159.9800,174.6600,159.4900,166.9400,1877698,313855015.9200,5.658200
2025-01-24,165.2700,168.2500,164.5000,167.9200,922575,153606390.1500,0.587000
2025-01-27,167.9500,169.9500,165.0000,165.3100,571507,95124240.3900,-1.554300
2025-02-05,166.9000,172.8800,164.0100,171.2900,1160737,196119767.6200,3.617400
2025-02-06,168.0900,170.9900,166.0100,170.9500,1153006,194639517.4900,-0.198500
2025-02-07,169.5500,174.3000,169.1300,170.6300,1271865,217660234.9700,-0.187200
2025-02-10,171.0600,181.3800,169.4800,178.6900,1919290,337896282.9200,4.723700
2025-02-11,178.7800,178.7800,174.8000,176.5000,930143,163480562.6300,-1.225600
2025-02-12,176.3500,178.5600,174.2500,176.9300,856067,150671169.0200,0.243600
2025-02-13,177.3200,177.7000,171.1800,171.4000,1067242,185378259.8000,-3.125500
2025-02-14,171.9000,173.3400,170.5300,172.2600,697940,120053729.6400,0.501800
2025-02-17,171.5100,176.2800,171.5100,173.7400,991994,172846299.7000,0.859200
2025-02-18,173.0000,176.3600,168.4000,169.2900,939488,162188869.7700,-2.561300
2025-02-19,169.0000,173.9900,168.6000,172.2400,980526,168447324.5900,1.742600
2025-02-20,171.9900,172.7200,170.0300,171.1400,704659,120671310.3400,-0.638600
2025-02-21,171.4200,174.6600,170.3000,174.4000,1071663,185487126.9700,1.904900
2025-02-24,174.4100,178.3900,173.4500,175.8900,1090145,191797322.5700,0.854400
2025-02-25,173.0000,178.5900,172.0000,175.3000,1008687,176864573.8000,-0.335400
2025-02-26,176.6600,176.7700,174.0000,176.3300,751879,131926278.9000,0.587600
2025-02-27,176.3300,177.1000,171.2300,173.4700,1067237,185112908.5200,-1.622000
2025-02-28,172.5000,172.5000,165.9500,166.0300,1006948,169969633.9300,-4.288900
2025-03-03,166.8000,170.6900,165.3300,168.1000,597923,100633856.1500,1.246800
2025-03-04,167.0300,170.7300,166.5000,170.1100,499899,84554743.1700,1.195700
2025-03-05,169.9400,170.9500,166.5000,169.0700,488534,82256563.5000,-0.611400
2025-03-06,169.9700,176.7800,168.9800,174.9500,1362159,237622895.4500,3.477800
2025-03-07,174.0100,174.6700,171.2000,172.2300,795721,137700501.0000,-1.554700
2025-03-10,172.0000,173.3900,169.0200,170.6100,554640,94764878.4600,-0.940600
2025-03-11,168.9100,172.5000,168.0200,170.9900,574288,97997563.8800,0.222700
2025-03-12,171.4500,172.8700,170.5800,170.8200,606703,104099960.8400,-0.099400
2025-03-13,170.6800,171.3500,166.5600,168.1000,750509,126108608.0300,-1.592300
2025-03-14,167.7700,170.5500,167.3000,170.1400,578775,97942608.3500,1.213600
2025-03-17,171.5000,176.7600,170.2100,173.9300,912824,158796107.7600,2.227600
2025-03-18,173.9500,178.5900,172.6700,176.6600,1079724,190254942.0000,1.569600
2025-03-19,175.8900,175.8900,172.6600,173.4000,625645,108761101.2000,-1.845400
2025-03-20,173.4000,173.9100,171.0100,171.3600,507305,87452407.7300,-1.176500
2025-03-21,170.9600,171.9700,168.3800,168.7100,551480,93540360.8000,-1.546500
2025-03-24,168.7000,169.9900,166.2600,168.3800,594765,99783383.7400,-0.195600
2025-03-25,168.2400,168.9900,167.2500,168.4400,357380,60121341.4000,0.035600
2025-03-26,168.1600,169.3200,167.6500,168.5300,414253,69726031.4900,0.053400
2025-03-27,168.0100,169.0000,166.5300,168.5600,329760,55392070.2000,0.017800
2025-03-28,168.4900,169.2900,166.6800,166.8700,296920,49726601.8000,-1.002600
2025-03-31,166.6600,166.8000,160.8800,162.3200,630540,102809429.6000,-2.726700
2025-04-01,162.5000,164.0200,162.1600,163.2400,325880,53141176.6000,0.566800
2025-04-02,162.9900,164.6400,162.3200,163.2500,232280,38006703.2000,0.006100
2025-04-03,162.0000,163.4900,160.6600,161.1500,329361,53313909.9800,-1.286400
2025-04-07,153.0000,153.9900,132.0000,133.4100,992618,142185647.4000,-17.213800
2025-04-08,135.9900,141.0200,135.0300,138.0000,718307,98820781.8700,3.440500
2025-04-09,135.8000,149.0000,132.5000,147.2000,1132384,160802267.0900,6.666700
2025-04-10,149.8000,153.3300,147.6300,150.0000,776392,116836587.2400,1.902200
2025-04-11,147.0400,152.6200,146.5100,146.8500,994762,148725591.2900,-2.100000
2025-04-14,149.3100,150.8100,147.0100,148.2000,570680,84915811.2600,0.919300
2025-04-15,148.1800,148.1800,146.0000,147.8700,250413,36846672.6900,-0.222700
2025-04-16,146.5700,147.7700,144.5100,146.0000,293991,42947879.5700,-1.264600
2025-04-17,146.8000,149.7000,146.6000,149.0700,499725,74351608.9200,2.102700
2025-04-18,144.0000,144.0500,138.1100,140.1000,1202529,168832994.2700,-6.017300
2025-04-21,140.1000,140.5500,138.9900,139.8300,439343,61386730.4200,-0.192700
2025-04-22,139.6400,140.4700,138.8800,139.2000,418609,58438865.4700,-0.450500
2025-04-23,139.8800,141.3700,139.4100,139.9500,425420,59598053.6000,0.538800
2025-04-24,139.9400,140.4600,138.0600,138.7900,400171,55683694.1500,-0.828900
2025-04-25,139.3800,141.8800,138.8000,140.5900,489791,68804766.8400,1.296900
2025-04-28,140.6000,140.9900,138.3800,139.5900,284340,39635944.6000,-0.711300
2025-04-29,139.8900,140.4800,138.0800,139.1200,254179,35501511.4400,-0.336700
2025-04-30,139.1200,140.9300,139.1100,139.8200,291500,40902863.0000,0.503200
2025-05-06,140.6900,143.2800,140.6100,143.1600,424448,60364686.1500,2.388800
2025-05-07,145.0000,145.7900,141.8500,143.2500,471122,67603038.4000,0.062900
2025-05-08,143.0300,147.0000,142.5400,146.1700,502616,73098130.8800,2.038400
2025-05-09,146.0100,146.4900,142.9000,143.2500,443741,63848201.0000,-1.997700
2025-05-12,144.6200,145.8000,144.1600,145.3200,358031,51881054.1000,1.445000
2025-05-13,147.3000,147.3000,144.3600,144.9000,347805,50582255.3000,-0.289000
2025-05-14,144.7700,145.7700,143.5000,144.7100,332365,48056669.2000,-0.131100
2025-05-15,144.3600,144.6500,141.8100,142.0300,350185,50006834.5000,-1.852000
2025-05-16,142.0000,143.1000,141.0000,141.5300,296464,42160889.1200,-0.352000
2025-05-19,141.6300,142.0000,140.2500,141.3200,324000,45822912.0400,-0.148400
2025-05-20,141.6100,143.9800,140.7100,143.5900,363360,51878146.5800,1.606300
2025-05-21,143.0100,143.5700,141.8200,142.4500,241721,34449252.4300,-0.793900
2025-05-22,142.0200,143.3000,140.7000,140.9000,248430,35237528.0000,-1.088100
2025-05-23,140.2600,141.5400,139.0000,139.0300,340184,47622646.7600,-0.876900
2025-05-26,139.0000,140.5900,138.5000,139.7900,207580,28968927.6000,0.546600
2025-05-27,139.6400,139.9900,138.2000,138.3700,260960,36234831.0000,-1.015800
2025-05-28,138.7000,139.3400,137.1200,137.3200,227878,31467814.0800,-0.758800
2025-05-29,137.3200,140.9000,137.3200,140.0900,342998,47802992.0400,2.017200
2025-05-30,139.6000,139.6000,135.1500,136.2400,492448,67712645.8800,-2.748200
2025-06-03,136.2700,138.9800,135.7500,137.4800,443263,61141915.6100,0.910200
2025-06-04,137.4800,138.3900,136.6000,137.0000,404222,55503878.4600,-0.349100
2025-06-05,137.0100,138.2500,136.0400,138.2500,480120,65934291.5200,0.912400
2025-06-06,138.1700,140.2000,137.5700,140.1800,480463,66889359.7900,1.396000
2025-06-09,140.5800,140.6500,139.4500,140.4800,297868,41742958.5400,0.214000
2025-06-10,140.4800,143.2300,138.6900,140.9900,490789,69208007.6600,0.363000
2025-06-11,140.9900,145.0900,140.2400,142.9300,666064,95306442.2800,1.376000
2025-06-12,142.9400,145.0700,141.5000,143.7000,538459,77406315.3100,0.538700
2025-06-13,142.9900,144.8000,139.6600,139.9800,733085,103571213.2000,-2.588700
2025-06-16,139.0100,141.0300,139.0100,140.5100,353180,49560140.2000,0.378600
2025-06-17,141.2100,141.2100,139.0000,140.5900,366024,51202850.5600,0.056900
2025-06-18,140.1900,141.2800,139.2300,141.0000,281759,39581758.1900,0.291600
2025-06-19,140.5900,141.8600,138.1900,138.8000,320280,44738678.7600,-1.560300
