date,open,high,low,close,volume,amount,pctChg
2025-03-24,180.0000,189.9900,157.7500,157.9300,8189494,1447850739.9400,202.084900
2025-03-25,157.9500,171.0000,157.9400,158.3400,5643628,922596576.1600,0.259600
2025-03-26,150.0000,164.8800,148.0800,158.5000,4317685,675515833.3200,0.101000
2025-03-27,155.5000,180.0500,150.2900,167.9100,5771658,950491081.3600,5.936900
2025-03-28,168.9800,172.2100,157.3800,157.3800,3982848,649135238.8400,-6.271200
2025-03-31,154.0000,176.6600,154.0000,162.0000,4654883,772186282.5500,2.935600
2025-04-01,159.0100,194.4000,159.0100,194.4000,6838314,1223543300.4300,20.000000
2025-04-02,193.0000,199.9000,178.8800,183.0000,5656647,1048158116.0500,-5.864200
2025-04-03,179.0000,186.6600,175.8800,181.5000,4255469,771097564.5500,-0.819700
2025-04-07,175.0000,189.2200,172.0000,181.7500,5120773,925876691.5800,0.137700
2025-04-08,182.0000,182.0000,155.5300,165.5800,5277999,878778561.7300,-8.896800
2025-04-09,156.0000,169.9700,148.5000,163.6000,4137194,666103604.4300,-1.195800
2025-04-10,164.0200,171.4000,161.8100,163.0600,3885026,645209318.3100,-0.330100
2025-04-11,159.0300,177.2800,159.0000,169.5800,4432265,751001935.3100,3.998500
2025-04-14,169.6100,172.6600,166.6300,170.3000,2868373,486106863.3500,0.424600
2025-04-15,170.2900,170.5100,166.0000,166.7000,2173000,364137681.6100,-2.113900
2025-04-16,164.9500,168.2400,159.3000,162.0400,2440502,398784544.9200,-2.795400
2025-04-17,160.4200,169.3600,160.0000,163.0700,2154400,355807425.0000,0.635600
2025-04-18,160.5100,163.0000,156.3300,163.0000,2113543,336689776.4100,-0.042900
2025-04-21,161.3000,172.9400,160.9000,171.9900,2668543,448826105.1400,5.515300
2025-04-22,169.1100,180.9200,168.1100,175.1800,2733499,474230530.5000,1.854800
2025-04-23,174.5000,177.5000,172.1200,174.9900,1984269,346361543.9000,-0.108500
2025-04-24,174.0000,174.8000,167.7700,169.1300,1744345,297634971.6000,-3.348800
2025-04-25,168.1000,169.2000,165.0200,167.0200,1413602,236266115.0600,-1.247600
2025-04-28,166.5000,178.8800,163.9100,175.5600,2762045,476009355.6000,5.113200
2025-04-29,168.0000,171.3600,162.1000,169.9500,2804369,465998817.7800,-3.195500
2025-04-30,168.0000,183.5000,167.8000,179.0000,2748518,484692047.0700,5.325100
2025-05-06,179.5800,184.5000,177.2000,182.7000,2096207,378713404.2500,2.067000
2025-05-07,182.0000,185.6000,176.6100,178.3000,1951600,351601257.0000,-2.408300
2025-05-08,177.9400,180.9600,175.5200,178.5000,1484226,264132352.7300,0.112200
2025-05-09,176.9900,177.8700,171.3300,171.8800,1499271,260133353.0500,-3.708700
2025-05-12,172.1400,176.3000,172.1400,174.9600,1198007,208822888.1900,1.791900
2025-05-13,175.5900,180.5000,171.6000,172.8600,1662704,292159132.0800,-1.200300
2025-05-14,172.0300,175.8000,170.2600,170.7100,1520200,262007423.0000,-1.243800
2025-05-15,170.0000,171.4000,167.0000,169.7500,1138800,192953965.0000,-0.562400
2025-05-16,168.7800,170.9000,167.8100,168.1500,1105000,186870249.0000,-0.942600
2025-05-19,168.1800,169.2000,166.5900,168.1600,814400,136737665.0000,0.005900
2025-05-20,167.8000,170.4900,163.8100,169.2000,1305500,219321308.8400,0.618500
2025-05-21,168.7200,168.9000,162.3000,162.5000,1750094,288123184.6200,-3.959800
2025-05-22,161.0300,163.7800,159.0000,159.1000,1143100,184244097.7400,-2.092300
2025-05-23,159.1300,161.3000,157.0000,157.3800,1337200,212262815.0000,-1.081100
2025-05-26,157.3900,159.8900,156.4100,159.8600,1067326,169187583.7200,1.575800
2025-05-27,158.8800,159.7800,157.5600,159.3500,828300,131342979.0000,-0.319000
2025-05-28,159.0800,160.4800,157.6000,160.0000,820184,130761680.9600,0.407900
